                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                  52.7400             5.463081E+02             5.437655E+04
                  52.9200             5.474611E+02             5.407815E+04
                  53.1000             5.486077E+02             5.377937E+04
                  53.2800             5.497480E+02             5.348024E+04
                  53.4600             5.508818E+02             5.318074E+04
                  53.6400             5.520094E+02             5.288088E+04
                  53.8200             5.531305E+02             5.258068E+04
                  54.0000             5.542452E+02             5.228013E+04
                  54.1800             5.553536E+02             5.197924E+04
                  54.3600             5.564556E+02             5.167801E+04
                  54.5400             5.575511E+02             5.137645E+04
                  54.7200             5.586402E+02             5.107457E+04
                  54.9000             5.597229E+02             5.077236E+04
                  55.0800             5.607992E+02             5.046983E+04
                  55.2600             5.618691E+02             5.016699E+04
                  55.4400             5.629325E+02             4.986384E+04
                  55.6200             5.639894E+02             4.956039E+04
                  55.8000             5.650399E+02             4.925664E+04
                  55.9800             5.660840E+02             4.895259E+04
                  56.1600             5.671215E+02             4.864825E+04
                  56.3400             5.681526E+02             4.834363E+04
                  56.5200             5.691773E+02             4.803872E+04
                  56.7000             5.701954E+02             4.773354E+04
                  56.8800             5.712070E+02             4.742809E+04
                  57.0600             5.722122E+02             4.712237E+04
                  57.2400             5.732108E+02             4.681639E+04
                  57.4200             5.742030E+02             4.651014E+04
                  57.6000             5.751886E+02             4.620365E+04
                  57.7800             5.761677E+02             4.589690E+04
                  57.9600             5.771402E+02             4.558991E+04
                  58.1400             5.781063E+02             4.528268E+04
                  58.3200             5.790658E+02             4.497522E+04
                  58.5000             5.800188E+02             4.466752E+04
                  58.6800             5.809652E+02             4.435959E+04
                  58.8600             5.819051E+02             4.405145E+04
                  59.0400             5.828384E+02             4.374308E+04
                  59.2200             5.837652E+02             4.343450E+04
                  59.4000             5.846854E+02             4.312571E+04
                  59.5800             5.855990E+02             4.281672E+04
                  59.7600             5.865061E+02             4.250752E+04
                  59.9400             5.874065E+02             4.219813E+04
                  60.1200             5.883004E+02             4.188854E+04
                  60.3000             5.891878E+02             4.157877E+04
                  60.4800             5.900685E+02             4.126882E+04
                  60.6600             5.909426E+02             4.095868E+04
                  60.8400             5.918102E+02             4.064838E+04
                  61.0200             5.926711E+02             4.033790E+04
                  61.2000             5.935255E+02             4.002725E+04
                  61.3800             5.943732E+02             3.971645E+04
                  61.5600             5.952143E+02             3.940548E+04
                  61.7400             5.960489E+02             3.909436E+04
                  61.9200             5.968767E+02             3.878310E+04
                  62.1000             5.976980E+02             3.847168E+04
                  62.2800             5.985127E+02             3.816013E+04
                  62.4600             5.993207E+02             3.784844E+04
                  62.6400             6.001221E+02             3.753662E+04
                  62.8200             6.009169E+02             3.722467E+04
                  63.0000             6.017050E+02             3.691260E+04
                  63.1800             6.024865E+02             3.660041E+04
                  63.3600             6.032614E+02             3.628810E+04
                  63.5400             6.040296E+02             3.597568E+04
                  63.7200             6.047912E+02             3.566315E+04
                  63.9000             6.055461E+02             3.535052E+04
                  64.0800             6.062944E+02             3.503778E+04
                  64.2600             6.070360E+02             3.472496E+04
                  64.4400             6.077710E+02             3.441204E+04
                  64.6200             6.084993E+02             3.409904E+04
                  64.8000             6.092210E+02             3.378595E+04
                  64.9800             6.099360E+02             3.347278E+04
                  65.1600             6.106443E+02             3.315954E+04
                  65.3400             6.113460E+02             3.284623E+04
                  65.5200             6.120411E+02             3.253285E+04
                  65.7000             6.127294E+02             3.221941E+04
                  65.8800             6.134111E+02             3.190590E+04
                  66.0600             6.140862E+02             3.159235E+04
                  66.2400             6.147545E+02             3.127874E+04
                  66.4200             6.154162E+02             3.096508E+04
                  66.6000             6.160713E+02             3.065138E+04
                  66.7800             6.167196E+02             3.033764E+04
                  66.9600             6.173613E+02             3.002387E+04
                  67.1400             6.179963E+02             2.971006E+04
                  67.3200             6.186247E+02             2.939623E+04
                  67.5000             6.192463E+02             2.908237E+04
                  67.6800             6.198613E+02             2.876849E+04
                  67.8600             6.204697E+02             2.845459E+04
                  68.0400             6.210713E+02             2.814069E+04
                  68.2200             6.216663E+02             2.782677E+04
                  68.4000             6.222546E+02             2.751285E+04
                  68.5800             6.228362E+02             2.719892E+04
                  68.7600             6.234112E+02             2.688500E+04
                  68.9400             6.239795E+02             2.657109E+04
                  69.1200             6.245411E+02             2.625718E+04
                  69.3000             6.250960E+02             2.594329E+04
                  69.4800             6.256442E+02             2.562941E+04
                  69.6600             6.261858E+02             2.531556E+04
                  69.8400             6.267207E+02             2.500173E+04
                  70.0200             6.272490E+02             2.468793E+04
                  70.2000             6.277706E+02             2.437416E+04
                  70.3800             6.282854E+02             2.406042E+04
                  70.5600             6.287937E+02             2.374673E+04
                  70.7400             6.292952E+02             2.343308E+04
                  70.9200             6.297901E+02             2.311947E+04
                  71.1000             6.302783E+02             2.280591E+04
                  71.2800             6.307599E+02             2.249241E+04
                  71.4600             6.312348E+02             2.217896E+04
                  71.6400             6.317030E+02             2.186558E+04
                  71.8200             6.321646E+02             2.155225E+04
                  72.0000             6.326195E+02             2.123900E+04
                  72.1800             6.330677E+02             2.092582E+04
                  72.3600             6.335093E+02             2.061271E+04
                  72.5400             6.339442E+02             2.029967E+04
                  72.7200             6.343725E+02             1.998672E+04
                  72.9000             6.347941E+02             1.967386E+04
                  73.0800             6.352091E+02             1.936108E+04
                  73.2600             6.356174E+02             1.904839E+04
                  73.4400             6.360191E+02             1.873580E+04
                  73.6200             6.364141E+02             1.842331E+04
                  73.8000             6.368025E+02             1.811091E+04
                  73.9800             6.371843E+02             1.779863E+04
                  74.1600             6.375594E+02             1.748645E+04
                  74.3400             6.379278E+02             1.717438E+04
                  74.5200             6.382897E+02             1.686243E+04
                  74.7000             6.386449E+02             1.655059E+04
                  74.8800             6.389935E+02             1.623888E+04
