                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                  27.0000             7.318663E+01            -1.678087E+01             8.996750E+01             0.000000E+00            -2.338258E+01            -6.884865E-02             6.670556E+00             1.122523E+01
                  27.1800             7.319952E+01            -1.682345E+01             9.002296E+01             0.000000E+00            -2.346718E+01            -6.907861E-02             6.712813E+00             1.121557E+01
                  27.3600             7.321346E+01            -1.686485E+01             9.007831E+01             0.000000E+00            -2.355054E+01            -6.930466E-02             6.754999E+00             1.120585E+01
                  27.5400             7.322867E+01            -1.690507E+01             9.013374E+01             0.000000E+00            -2.363265E+01            -6.952680E-02             6.797113E+00             1.119627E+01
                  27.7200             7.324532E+01            -1.694411E+01             9.018943E+01             0.000000E+00            -2.371352E+01            -6.974502E-02             6.839153E+00             1.118699E+01
                  27.9000             7.326356E+01            -1.698197E+01             9.024553E+01             0.000000E+00            -2.379313E+01            -6.995932E-02             6.881117E+00             1.117819E+01
                  28.0800             7.328353E+01            -1.701865E+01             9.030218E+01             0.000000E+00            -2.387148E+01            -7.016968E-02             6.923002E+00             1.116998E+01
                  28.2600             7.330532E+01            -1.705415E+01             9.035947E+01             0.000000E+00            -2.394858E+01            -7.037611E-02             6.964807E+00             1.116249E+01
                  28.4400             7.332903E+01            -1.708846E+01             9.041749E+01             0.000000E+00            -2.402441E+01            -7.057860E-02             7.006530E+00             1.115578E+01
                  28.6200             7.335470E+01            -1.712159E+01             9.047630E+01             0.000000E+00            -2.409899E+01            -7.077714E-02             7.048169E+00             1.114992E+01
                  28.8000             7.338239E+01            -1.715354E+01             9.053593E+01             0.000000E+00            -2.417229E+01            -7.097173E-02             7.089723E+00             1.114496E+01
                  28.9800             7.341210E+01            -1.718431E+01             9.059641E+01             0.000000E+00            -2.424433E+01            -7.116237E-02             7.131189E+00             1.114090E+01
                  29.1600             7.344384E+01            -1.721389E+01             9.065773E+01             0.000000E+00            -2.431510E+01            -7.134906E-02             7.172567E+00             1.113776E+01
                  29.3400             7.347760E+01            -1.724228E+01             9.071988E+01             0.000000E+00            -2.438460E+01            -7.153179E-02             7.213854E+00             1.113552E+01
                  29.5200             7.351334E+01            -1.726949E+01             9.078283E+01             0.000000E+00            -2.445283E+01            -7.171055E-02             7.255049E+00             1.113416E+01
                  29.7000             7.355104E+01            -1.729551E+01             9.084655E+01             0.000000E+00            -2.451978E+01            -7.188535E-02             7.296151E+00             1.113364E+01
                  29.8800             7.359063E+01            -1.732035E+01             9.091099E+01             0.000000E+00            -2.458545E+01            -7.205618E-02             7.337158E+00             1.113392E+01
                  30.0600             7.363208E+01            -1.734400E+01             9.097608E+01             0.000000E+00            -2.464985E+01            -7.222304E-02             7.378068E+00             1.113494E+01
                  30.2400             7.367532E+01            -1.736647E+01             9.104179E+01             0.000000E+00            -2.471296E+01            -7.238594E-02             7.418881E+00             1.113665E+01
                  30.4200             7.372029E+01            -1.738774E+01             9.110803E+01             0.000000E+00            -2.477479E+01            -7.254486E-02             7.459595E+00             1.113899E+01
                  30.6000             7.376692E+01            -1.740783E+01             9.117475E+01             0.000000E+00            -2.483534E+01            -7.269980E-02             7.500209E+00             1.114189E+01
                  30.7800             7.381516E+01            -1.742673E+01             9.124189E+01             0.000000E+00            -2.489461E+01            -7.285078E-02             7.540722E+00             1.114529E+01
                  30.9600             7.386492E+01            -1.744445E+01             9.130937E+01             0.000000E+00            -2.495258E+01            -7.299778E-02             7.581133E+00             1.114914E+01
                  31.1400             7.391617E+01            -1.746097E+01             9.137714E+01             0.000000E+00            -2.500927E+01            -7.314080E-02             7.621439E+00             1.115336E+01
                  31.3200             7.396882E+01            -1.747631E+01             9.144513E+01             0.000000E+00            -2.506468E+01            -7.327985E-02             7.661642E+00             1.115790E+01
                  31.5000             7.402282E+01            -1.749046E+01             9.151329E+01             0.000000E+00            -2.511879E+01            -7.341492E-02             7.701738E+00             1.116270E+01
                  31.6800             7.407813E+01            -1.750343E+01             9.158155E+01             0.000000E+00            -2.517161E+01            -7.354602E-02             7.741728E+00             1.116772E+01
                  31.8600             7.413467E+01            -1.751520E+01             9.164988E+01             0.000000E+00            -2.522314E+01            -7.367314E-02             7.781611E+00             1.117289E+01
                  32.0400             7.419242E+01            -1.752579E+01             9.171821E+01             0.000000E+00            -2.527338E+01            -7.379630E-02             7.821385E+00             1.117817E+01
                  32.2200             7.425131E+01            -1.753519E+01             9.178650E+01             0.000000E+00            -2.532233E+01            -7.391548E-02             7.861050E+00             1.118353E+01
                  32.4000             7.431131E+01            -1.754341E+01             9.185472E+01             0.000000E+00            -2.536998E+01            -7.403070E-02             7.900605E+00             1.118891E+01
                  32.5800             7.437239E+01            -1.755044E+01             9.192283E+01             0.000000E+00            -2.541634E+01            -7.414194E-02             7.940048E+00             1.119429E+01
                  32.7600             7.443451E+01            -1.755628E+01             9.199079E+01             0.000000E+00            -2.546141E+01            -7.424923E-02             7.979381E+00             1.119963E+01
                  32.9400             7.449764E+01            -1.756093E+01             9.205857E+01             0.000000E+00            -2.550518E+01            -7.435255E-02             8.018600E+00             1.120491E+01
