                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                  47.1600             5.891053E+02             8.546418E+04
                  47.3400             5.906671E+02             8.508069E+04
                  47.5200             5.922218E+02             8.469649E+04
                  47.7000             5.937695E+02             8.431161E+04
                  47.8800             5.953101E+02             8.392604E+04
                  48.0600             5.968437E+02             8.353978E+04
                  48.2400             5.983702E+02             8.315286E+04
                  48.4200             5.998896E+02             8.276526E+04
                  48.6000             6.014019E+02             8.237701E+04
                  48.7800             6.029071E+02             8.198810E+04
                  48.9600             6.044051E+02             8.159855E+04
                  49.1400             6.058960E+02             8.120835E+04
                  49.3200             6.073798E+02             8.081752E+04
                  49.5000             6.088564E+02             8.042607E+04
                  49.6800             6.103258E+02             8.003399E+04
                  49.8600             6.117880E+02             7.964130E+04
                  50.0400             6.132430E+02             7.924800E+04
                  50.2200             6.146909E+02             7.885410E+04
                  50.4000             6.161315E+02             7.845960E+04
                  50.5800             6.175648E+02             7.806452E+04
                  50.7600             6.189910E+02             7.766885E+04
                  50.9400             6.204099E+02             7.727261E+04
                  51.1200             6.218215E+02             7.687580E+04
                  51.3000             6.232258E+02             7.647843E+04
                  51.4800             6.246229E+02             7.608050E+04
                  51.6600             6.260126E+02             7.568203E+04
                  51.8400             6.273951E+02             7.528301E+04
                  52.0200             6.287703E+02             7.488345E+04
                  52.2000             6.301381E+02             7.448337E+04
                  52.3800             6.314986E+02             7.408276E+04
                  52.5600             6.328517E+02             7.368163E+04
                  52.7400             6.341975E+02             7.327999E+04
                  52.9200             6.355360E+02             7.287785E+04
                  53.1000             6.368671E+02             7.247521E+04
                  53.2800             6.381907E+02             7.207208E+04
                  53.4600             6.395071E+02             7.166847E+04
                  53.6400             6.408160E+02             7.126437E+04
                  53.8200             6.421175E+02             7.085981E+04
                  54.0000             6.434116E+02             7.045477E+04
                  54.1800             6.446982E+02             7.004928E+04
                  54.3600             6.459775E+02             6.964334E+04
                  54.5400             6.472493E+02             6.923694E+04
                  54.7200             6.485136E+02             6.883011E+04
                  54.9000             6.497705E+02             6.842284E+04
                  55.0800             6.510199E+02             6.801514E+04
                  55.2600             6.522619E+02             6.760702E+04
                  55.4400             6.534964E+02             6.719849E+04
                  55.6200             6.547234E+02             6.678954E+04
                  55.8000             6.559429E+02             6.638019E+04
                  55.9800             6.571549E+02             6.597045E+04
                  56.1600             6.583594E+02             6.556031E+04
                  56.3400             6.595564E+02             6.514979E+04
                  56.5200             6.607458E+02             6.473889E+04
                  56.7000             6.619277E+02             6.432761E+04
                  56.8800             6.631021E+02             6.391597E+04
                  57.0600             6.642690E+02             6.350397E+04
                  57.2400             6.654283E+02             6.309162E+04
                  57.4200             6.665800E+02             6.267891E+04
                  57.6000             6.677242E+02             6.226587E+04
                  57.7800             6.688608E+02             6.185249E+04
                  57.9600             6.699899E+02             6.143877E+04
                  58.1400             6.711113E+02             6.102474E+04
                  58.3200             6.722252E+02             6.061038E+04
                  58.5000             6.733315E+02             6.019572E+04
                  58.6800             6.744302E+02             5.978074E+04
                  58.8600             6.755213E+02             5.936547E+04
                  59.0400             6.766047E+02             5.894991E+04
                  59.2200             6.776806E+02             5.853405E+04
                  59.4000             6.787488E+02             5.811791E+04
                  59.5800             6.798095E+02             5.770150E+04
                  59.7600             6.808625E+02             5.728482E+04
                  59.9400             6.819078E+02             5.686787E+04
