                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                  20.7000             1.041125E+00             5.572024E-08             9.895582E-06             0.000000E+00            -1.459531E-08             9.936706E-06
                  20.8800             1.040293E+00             5.515978E-08             9.877158E-06             0.000000E+00            -4.375052E-08             9.888568E-06
                  21.0600             1.039470E+00             5.504911E-08             9.858787E-06             0.000000E+00            -7.318904E-08             9.840647E-06
                  21.2400             1.038655E+00             5.493914E-08             9.840477E-06             0.000000E+00            -1.028876E-07             9.792529E-06
                  21.4200             1.037848E+00             5.482997E-08             9.822239E-06             0.000000E+00            -1.328231E-07             9.744246E-06
                  21.6000             1.037051E+00             5.427503E-08             9.804083E-06             0.000000E+00            -1.629728E-07             9.695385E-06
                  21.7800             1.036263E+00             5.416536E-08             9.786020E-06             0.000000E+00            -1.933145E-07             9.646870E-06
                  21.9600             1.035485E+00             5.405666E-08             9.768057E-06             0.000000E+00            -2.238261E-07             9.598288E-06
                  22.1400             1.034718E+00             5.394901E-08             9.750207E-06             0.000000E+00            -2.544861E-07             9.549670E-06
                  22.3200             1.033960E+00             5.384246E-08             9.732477E-06             0.000000E+00            -2.852735E-07             9.501046E-06
                  22.5000             1.033214E+00             5.329303E-08             9.714876E-06             0.000000E+00            -3.161678E-07             9.452001E-06
                  22.6800             1.032478E+00             5.318668E-08             9.697414E-06             0.000000E+00            -3.471490E-07             9.403451E-06
                  22.8600             1.031753E+00             5.308157E-08             9.680098E-06             0.000000E+00            -3.781976E-07             9.354982E-06
                  23.0400             1.031040E+00             5.297777E-08             9.662938E-06             0.000000E+00            -4.092949E-07             9.306621E-06
                  23.2200             1.030338E+00             5.287531E-08             9.648847E-06             0.000000E+00            -4.404227E-07             9.261300E-06
                  23.4000             1.029648E+00             5.233299E-08             9.632020E-06             0.000000E+00            -4.715634E-07             9.212790E-06
                  23.5800             1.028970E+00             5.223130E-08             9.615371E-06             0.000000E+00            -5.026999E-07             9.164902E-06
                  23.7600             1.028303E+00             5.213109E-08             9.601815E-06             0.000000E+00            -5.338160E-07             9.120130E-06
                  23.9400             1.027648E+00             5.203234E-08             9.585541E-06             0.000000E+00            -5.648962E-07             9.072677E-06
                  24.1200             1.027005E+00             5.193512E-08             9.569464E-06             0.000000E+00            -5.959252E-07             9.025474E-06
                  24.3000             1.026374E+00             5.140128E-08             9.556502E-06             0.000000E+00            -6.268889E-07             8.981015E-06
                  24.4800             1.025755E+00             5.130530E-08             9.543751E-06             0.000000E+00            -6.577736E-07             8.937283E-06
                  24.6600             1.025148E+00             5.121090E-08             9.528300E-06             0.000000E+00            -6.885663E-07             8.890944E-06
                  24.8400             1.024554E+00             5.111811E-08             9.515983E-06             0.000000E+00            -7.192547E-07             8.847846E-06
                  25.0200             1.023971E+00             5.102692E-08             9.503891E-06             0.000000E+00            -7.498270E-07             8.805091E-06
                  25.2000             1.023399E+00             5.093736E-08             9.492028E-06             0.000000E+00            -7.802724E-07             8.762693E-06
                  25.3800             1.022840E+00             5.041305E-08             9.480398E-06             0.000000E+00            -8.105803E-07             8.720230E-06
                  25.5600             1.022293E+00             5.032510E-08             9.469004E-06             0.000000E+00            -8.407410E-07             8.678588E-06
                  25.7400             1.021757E+00             5.023881E-08             9.457849E-06             0.000000E+00            -8.707454E-07             8.637342E-06
                  25.9200             1.021233E+00             5.015416E-08             9.446936E-06             0.000000E+00            -9.005850E-07             8.596505E-06
                  26.1000             1.020720E+00             5.007118E-08             9.436267E-06             0.000000E+00            -9.302518E-07             8.556086E-06
                  26.2800             1.020219E+00             4.955747E-08             9.425845E-06             0.000000E+00            -9.597383E-07             8.515664E-06
                  26.4600             1.019729E+00             4.947630E-08             9.418605E-06             0.000000E+00            -9.890380E-07             8.479043E-06
