                   Degree                 Q1[m3/s]                 Q2[m3/s]                Q3c[m3/s]                Q3s[m3/s]                 Q4[m3/s]                Q5a[m3/s]                Q5b[m3/s]                Q6c[m3/s]                Q6s[m3/s]                 Q7[m3/s]                 Q8[m3/s]                Q9a[m3/s]                Q9b[m3/s]
                  15.6600             1.373236E-06             1.911062E-07             1.303261E-06             6.995057E-08             1.506654E-08             7.052485E-08             1.267697E-06             2.322310E-11             1.414400E-12             1.182130E-06            -2.152692E-07            -2.143190E-07             7.525418E-07
                  15.8400             1.373236E-06             1.911062E-07             1.302505E-06             7.070671E-08             1.506654E-08             7.052483E-08             1.267697E-06             2.320959E-11             1.427929E-12             1.182130E-06            -2.152692E-07            -2.143190E-07             7.525418E-07
                  16.0200             1.373236E-06             1.911062E-07             1.301751E-06             7.146100E-08             1.506655E-08             7.052487E-08             1.267697E-06             2.319613E-11             1.441349E-12             1.182130E-06            -2.152692E-07            -2.143189E-07             7.525418E-07
                  16.2000             1.373236E-06             1.911060E-07             1.300998E-06             7.221345E-08             1.506657E-08             7.052497E-08             1.267697E-06             2.318272E-11             1.454661E-12             1.182130E-06            -2.152691E-07            -2.143188E-07             7.525418E-07
                  16.3800             1.373235E-06             1.911058E-07             1.300247E-06             7.296409E-08             1.506661E-08             7.052515E-08             1.267697E-06             2.316935E-11             1.467867E-12             1.182130E-06            -2.152691E-07            -2.143187E-07             7.525418E-07
                  16.5600             1.373235E-06             1.911055E-07             1.299497E-06             7.371294E-08             1.506667E-08             7.052538E-08             1.267697E-06             2.315602E-11             1.480968E-12             1.182129E-06            -2.152689E-07            -2.143186E-07             7.525418E-07
                  16.7400             1.373234E-06             1.911050E-07             1.298749E-06             7.446001E-08             1.506673E-08             7.052568E-08             1.267697E-06             2.314274E-11             1.493964E-12             1.182129E-06            -2.152688E-07            -2.143184E-07             7.525418E-07
                  16.9200             1.373233E-06             1.911045E-07             1.298003E-06             7.520534E-08             1.506681E-08             7.052604E-08             1.267697E-06             2.312949E-11             1.506859E-12             1.182129E-06            -2.152686E-07            -2.143181E-07             7.525418E-07
                  17.1000             1.373232E-06             1.911039E-07             1.297258E-06             7.594896E-08             1.506690E-08             7.052646E-08             1.267697E-06             2.311629E-11             1.519652E-12             1.182128E-06            -2.152683E-07            -2.143179E-07             7.525418E-07
                  17.2800             1.373231E-06             1.911037E-07             1.296516E-06             7.669094E-08             1.506700E-08             7.052674E-08             1.267697E-06             2.310332E-11             1.532358E-12             1.182128E-06            -2.152684E-07            -2.143174E-07             7.525418E-07
                  17.4600             1.373230E-06             1.911029E-07             1.295774E-06             7.743123E-08             1.506712E-08             7.052728E-08             1.267697E-06             2.309020E-11             1.544957E-12             1.182127E-06            -2.152681E-07            -2.143170E-07             7.525418E-07
                  17.6400             1.373228E-06             1.911020E-07             1.295034E-06             7.816990E-08             1.506725E-08             7.052788E-08             1.267697E-06             2.307712E-11             1.557461E-12             1.182126E-06            -2.152678E-07            -2.143166E-07             7.525418E-07
                  17.8200             1.373227E-06             1.911011E-07             1.294295E-06             7.890701E-08             1.506740E-08             7.052853E-08             1.267697E-06             2.306408E-11             1.569873E-12             1.182125E-06            -2.152674E-07            -2.143162E-07             7.525418E-07
                  18.0000             1.373225E-06             1.911000E-07             1.293557E-06             7.964259E-08             1.506755E-08             7.052924E-08             1.267697E-06             2.305107E-11             1.582195E-12             1.182125E-06            -2.152670E-07            -2.143158E-07             7.525418E-07
                  18.1800             1.373223E-06             1.910989E-07             1.292821E-06             8.037667E-08             1.506771E-08             7.053000E-08             1.267697E-06             2.303810E-11             1.594430E-12             1.182124E-06            -2.152665E-07            -2.143153E-07             7.525418E-07
                  18.3600             1.373220E-06             1.910978E-07             1.292086E-06             8.110932E-08             1.506789E-08             7.053082E-08             1.267697E-06             2.302517E-11             1.606581E-12             1.182123E-06            -2.152660E-07            -2.143148E-07             7.525418E-07
                  18.5400             1.373218E-06             1.910965E-07             1.291353E-06             8.184056E-08             1.506808E-08             7.053168E-08             1.267697E-06             2.301226E-11             1.618649E-12             1.182122E-06            -2.152655E-07            -2.143142E-07             7.525418E-07
                  18.7200             1.373216E-06             1.910952E-07             1.290621E-06             8.257045E-08             1.506828E-08             7.053260E-08             1.267697E-06             2.299939E-11             1.630639E-12             1.182120E-06            -2.152650E-07            -2.143137E-07             7.525418E-07
                  18.9000             1.373214E-06             1.910943E-07             1.289890E-06             8.329908E-08             1.506848E-08             7.053334E-08             1.267697E-06             2.298676E-11             1.642566E-12             1.182120E-06            -2.152648E-07            -2.143129E-07             7.525418E-07
                  19.0800             1.373211E-06             1.910928E-07             1.289160E-06             8.402641E-08             1.506870E-08             7.053434E-08             1.267697E-06             2.297395E-11             1.654407E-12             1.182118E-06            -2.152642E-07            -2.143122E-07             7.525418E-07
                  19.2600             1.373208E-06             1.910913E-07             1.288431E-06             8.475255E-08             1.506892E-08             7.053539E-08             1.267697E-06             2.296117E-11             1.666177E-12             1.182117E-06            -2.152636E-07            -2.143116E-07             7.525418E-07
                  19.4400             1.373205E-06             1.910897E-07             1.287703E-06             8.547752E-08             1.506916E-08             7.053647E-08             1.267697E-06             2.294841E-11             1.677881E-12             1.182116E-06            -2.152630E-07            -2.143109E-07             7.525418E-07
                  19.6200             1.373202E-06             1.910880E-07             1.286976E-06             8.620140E-08             1.506940E-08             7.053760E-08             1.267697E-06             2.293569E-11             1.689521E-12             1.182114E-06            -2.152623E-07            -2.143102E-07             7.525418E-07
                  19.8000             1.373199E-06             1.910863E-07             1.286250E-06             8.692423E-08             1.506965E-08             7.053877E-08             1.267697E-06             2.292298E-11             1.701101E-12             1.182113E-06            -2.152616E-07            -2.143095E-07             7.525418E-07
                  19.9800             1.373196E-06             1.910846E-07             1.285525E-06             8.764606E-08             1.506991E-08             7.053997E-08             1.267697E-06             2.291030E-11             1.712623E-12             1.182111E-06            -2.152609E-07            -2.143087E-07             7.525418E-07
                  20.1600             1.373194E-06             1.910833E-07             1.284802E-06             8.836700E-08             1.507017E-08             7.054097E-08             1.267697E-06             2.289786E-11             1.724105E-12             1.182110E-06            -2.152606E-07            -2.143078E-07             7.525418E-07
                  20.3400             1.373190E-06             1.910815E-07             1.284079E-06             8.908700E-08             1.507045E-08             7.054223E-08             1.267697E-06             2.288522E-11             1.735522E-12             1.182109E-06            -2.152599E-07            -2.143070E-07             7.525418E-07
                  20.5200             1.373187E-06             1.910796E-07             1.283356E-06             8.980616E-08             1.507073E-08             7.054353E-08             1.267697E-06             2.287260E-11             1.746891E-12             1.182107E-06            -2.152591E-07            -2.143062E-07             7.525418E-07
                  20.7000             1.373183E-06             1.910777E-07             1.282634E-06             9.052453E-08             1.507101E-08             7.054485E-08             1.267697E-06             2.286000E-11             1.758215E-12             1.182105E-06            -2.152583E-07            -2.143053E-07             7.525418E-07
                  20.8800             1.373180E-06             1.910757E-07             1.281913E-06             9.124217E-08             1.507130E-08             7.054620E-08             1.267697E-06             2.284742E-11             1.769498E-12             1.182104E-06            -2.152575E-07            -2.143045E-07             7.525418E-07
