                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                  22.6800            -8.615605E+01            -6.050422E+01            -7.533342E+01             5.516091E+00             8.194451E+01             2.917381E+01             8.698283E+01
                  22.8600            -8.675801E+01            -6.058464E+01            -7.590638E+01             5.508826E+00             8.252301E+01             2.919465E+01             8.753499E+01
                  23.0400            -8.735859E+01            -6.066514E+01            -7.647829E+01             5.501106E+00             8.310006E+01             2.921519E+01             8.808602E+01
                  23.2200            -8.795778E+01            -6.074571E+01            -7.704914E+01             5.492926E+00             8.367565E+01             2.923542E+01             8.863591E+01
                  23.4000            -8.855557E+01            -6.082635E+01            -7.761894E+01             5.484284E+00             8.424978E+01             2.925538E+01             8.918466E+01
                  23.5800            -8.915195E+01            -6.090707E+01            -7.818767E+01             5.475176E+00             8.482243E+01             2.927508E+01             8.973224E+01
                  23.7600            -8.974693E+01            -6.098788E+01            -7.875532E+01             5.465598E+00             8.539358E+01             2.929452E+01             9.027864E+01
                  23.9400            -9.034048E+01            -6.106876E+01            -7.932190E+01             5.455547E+00             8.596323E+01             2.931373E+01             9.082385E+01
                  24.1200            -9.093260E+01            -6.114972E+01            -7.988740E+01             5.445021E+00             8.653137E+01             2.933272E+01             9.136786E+01
                  24.3000            -9.152329E+01            -6.123077E+01            -8.045181E+01             5.434015E+00             8.709798E+01             2.935150E+01             9.191065E+01
                  24.4800            -9.211254E+01            -6.131190E+01            -8.101512E+01             5.422529E+00             8.766305E+01             2.937009E+01             9.245222E+01
                  24.6600            -9.270033E+01            -6.139312E+01            -8.157733E+01             5.410558E+00             8.822658E+01             2.938849E+01             9.299254E+01
                  24.8400            -9.328666E+01            -6.147442E+01            -8.213843E+01             5.398101E+00             8.878855E+01             2.940673E+01             9.353161E+01
                  25.0200            -9.387152E+01            -6.155581E+01            -8.269842E+01             5.385155E+00             8.934895E+01             2.942480E+01             9.406941E+01
                  25.2000            -9.445491E+01            -6.163728E+01            -8.325730E+01             5.371718E+00             8.990777E+01             2.944272E+01             9.460592E+01
                  25.3800            -9.503681E+01            -6.171884E+01            -8.381504E+01             5.357787E+00             9.046500E+01             2.946050E+01             9.514115E+01
                  25.5600            -9.561722E+01            -6.180047E+01            -8.437166E+01             5.343362E+00             9.102064E+01             2.947814E+01             9.567506E+01
                  25.7400            -9.619612E+01            -6.188219E+01            -8.492714E+01             5.328440E+00             9.157467E+01             2.949567E+01             9.620766E+01
                  25.9200            -9.677351E+01            -6.196399E+01            -8.548147E+01             5.313019E+00             9.212707E+01             2.951308E+01             9.673892E+01
                  26.1000            -9.734939E+01            -6.204587E+01            -8.603466E+01             5.297098E+00             9.267785E+01             2.953038E+01             9.726884E+01
                  26.2800            -9.792373E+01            -6.212783E+01            -8.658668E+01             5.280675E+00             9.322699E+01             2.954758E+01             9.779740E+01
                  26.4600            -9.849654E+01            -6.220986E+01            -8.713755E+01             5.263749E+00             9.377448E+01             2.956469E+01             9.832459E+01
                  26.6400            -9.906780E+01            -6.229197E+01            -8.768725E+01             5.246318E+00             9.432032E+01             2.958172E+01             9.885040E+01
                  26.8200            -9.963750E+01            -6.237415E+01            -8.823577E+01             5.228382E+00             9.486449E+01             2.959866E+01             9.937481E+01
                  27.0000            -1.002056E+02            -6.245640E+01            -8.878311E+01             5.209938E+00             9.540698E+01             2.961553E+01             9.989781E+01
                  27.1800            -1.007722E+02            -6.253872E+01            -8.932926E+01             5.190987E+00             9.594779E+01             2.963232E+01             1.004194E+02
                  27.3600            -1.013372E+02            -6.262110E+01            -8.987422E+01             5.171527E+00             9.648691E+01             2.964905E+01             1.009395E+02
                  27.5400            -1.019006E+02            -6.270355E+01            -9.041798E+01             5.151557E+00             9.702433E+01             2.966572E+01             1.014582E+02
                  27.7200            -1.024624E+02            -6.278605E+01            -9.096054E+01             5.131077E+00             9.756004E+01             2.968233E+01             1.019755E+02
