                             Degree                         Volume[m3]                    I.Pressure[kPa]                   I.Temperature[K]                         I.Mass[kg]
                            28.6200                       1.143647E-07                       1.008573E+02                       3.037850E+02                       1.323116E-07
                            28.8000                       1.158656E-07                       1.008573E+02                       3.037850E+02                       1.340480E-07
                            28.9800                       1.173891E-07                       1.008573E+02                       3.037850E+02                       1.358105E-07
                            29.1600                       1.189353E-07                       1.008573E+02                       3.037850E+02                       1.375995E-07
                            29.3400                       1.205046E-07                       1.008573E+02                       3.037850E+02                       1.394149E-07
                            29.5200                       1.220969E-07                       1.008573E+02                       3.037850E+02                       1.412571E-07
                            29.7000                       1.237124E-07                       1.008573E+02                       3.037850E+02                       1.431262E-07
                            29.8800                       1.253514E-07                       1.008573E+02                       3.037850E+02                       1.450223E-07
                            30.0600                       1.270139E-07                       1.008573E+02                       3.037850E+02                       1.469457E-07
                            30.2400                       1.287001E-07                       1.008573E+02                       3.037850E+02                       1.488965E-07
                            30.4200                       1.304101E-07                       1.008573E+02                       3.037850E+02                       1.508750E-07
                            30.6000                       1.321442E-07                       1.008573E+02                       3.037850E+02                       1.528812E-07
                            30.7800                       1.339025E-07                       1.008573E+02                       3.037850E+02                       1.549153E-07
                            30.9600                       1.356851E-07                       1.008573E+02                       3.037850E+02                       1.569777E-07
                            31.1400                       1.374921E-07                       1.008573E+02                       3.037850E+02                       1.590683E-07
                            31.3200                       1.393238E-07                       1.008573E+02                       3.037850E+02                       1.611874E-07
                            31.5000                       1.411802E-07                       1.008573E+02                       3.037850E+02                       1.633351E-07
                            31.6800                       1.430616E-07                       1.008573E+02                       3.037850E+02                       1.655117E-07
                            31.8600                       1.449680E-07                       1.008573E+02                       3.037850E+02                       1.677173E-07
                            32.0400                       1.468997E-07                       1.008573E+02                       3.037850E+02                       1.699521E-07
                            32.2200                       1.488567E-07                       1.008573E+02                       3.037850E+02                       1.722163E-07
                            32.4000                       1.508392E-07                       1.008573E+02                       3.037850E+02                       1.745099E-07
                            32.5800                       1.528475E-07                       1.008573E+02                       3.037850E+02                       1.768333E-07
                            32.7600                       1.548815E-07                       1.008573E+02                       3.037850E+02                       1.791865E-07
                            32.9400                       1.569415E-07                       1.008573E+02                       3.037850E+02                       1.815698E-07
                            33.1200                       1.590277E-07                       1.008573E+02                       3.037850E+02                       1.839833E-07
                            33.3000                       1.611400E-07                       1.008573E+02                       3.037850E+02                       1.864272E-07
                            33.4800                       1.632789E-07                       1.008573E+02                       3.037850E+02                       1.889016E-07
                            33.6600                       1.654442E-07                       1.008573E+02                       3.037850E+02                       1.914068E-07
                            33.8400                       1.676363E-07                       1.008573E+02                       3.037850E+02                       1.939429E-07
                            34.0200                       1.698552E-07                       1.008573E+02                       3.037850E+02                       1.965100E-07
                            34.2000                       1.721011E-07                       1.008573E+02                       3.037850E+02                       1.991083E-07
                            34.3800                       1.743741E-07                       1.008573E+02                       3.037850E+02                       2.017381E-07
                            34.5600                       1.766744E-07                       1.008573E+02                       3.037850E+02                       2.043994E-07
                            34.7400                       1.790022E-07                       1.008573E+02                       3.037850E+02                       2.070924E-07
                            34.9200                       1.813575E-07                       1.008573E+02                       3.037850E+02                       2.098173E-07
                            35.1000                       1.837406E-07                       1.008573E+02                       3.037850E+02                       2.125743E-07
                            35.2800                       1.861515E-07                       1.008573E+02                       3.037850E+02                       2.153636E-07
                            35.4600                       1.885904E-07                       1.008573E+02                       3.037850E+02                       2.181852E-07
                            35.6400                       1.910574E-07                       1.008573E+02                       3.037850E+02                       2.210394E-07
                            35.8200                       1.935527E-07                       1.008573E+02                       3.037850E+02                       2.239263E-07
                            36.0000                       1.960765E-07                       1.008573E+02                       3.037850E+02                       2.268461E-07
                            36.1800                       1.986288E-07                       1.008573E+02                       3.037850E+02                       2.297990E-07
                            36.3600                       2.012098E-07                       1.008573E+02                       3.037850E+02                       2.327850E-07
                            36.5400                       2.038197E-07                       1.008573E+02                       3.037850E+02                       2.358045E-07
                            36.7200                       2.064586E-07                       1.008573E+02                       3.037850E+02                       2.388574E-07
                            36.9000                       2.091266E-07                       1.008573E+02                       3.037850E+02                       2.419441E-07
                            37.0800                       2.118239E-07                       1.008573E+02                       3.037850E+02                       2.450647E-07
                            37.2600                       2.145505E-07                       1.008573E+02                       3.037850E+02                       2.482192E-07
                            37.4400                       2.173067E-07                       1.008573E+02                       3.037850E+02                       2.514079E-07
                            37.6200                       2.200926E-07                       1.008573E+02                       3.037850E+02                       2.546310E-07
                            37.8000                       2.229084E-07                       1.008573E+02                       3.037850E+02                       2.578886E-07
                            37.9800                       2.257540E-07                       1.008573E+02                       3.037850E+02                       2.611808E-07
                            38.1600                       2.286298E-07                       1.008573E+02                       3.037850E+02                       2.645079E-07
                            38.3400                       2.315358E-07                       1.008573E+02                       3.037850E+02                       2.678699E-07
                            38.5200                       2.344722E-07                       1.008573E+02                       3.037850E+02                       2.712671E-07
                            38.7000                       2.374390E-07                       1.008573E+02                       3.037850E+02                       2.746995E-07
                            38.8800                       2.404365E-07                       1.008573E+02                       3.037850E+02                       2.781674E-07
                            39.0600                       2.434648E-07                       1.008573E+02                       3.037850E+02                       2.816709E-07
                            39.2400                       2.465240E-07                       1.008573E+02                       3.037850E+02                       2.852101E-07
                            39.4200                       2.496142E-07                       1.008573E+02                       3.037850E+02                       2.887853E-07
                            39.6000                       2.527355E-07                       1.008573E+02                       3.037850E+02                       2.923965E-07
                            39.7800                       2.558882E-07                       1.008573E+02                       3.037850E+02                       2.960439E-07
                            39.9600                       2.590724E-07                       1.008573E+02                       3.037850E+02                       2.997277E-07
                            40.1400                       2.622880E-07                       1.008573E+02                       3.037850E+02                       3.034480E-07
                            40.3200                       2.655354E-07                       1.008573E+02                       3.037850E+02                       3.072050E-07
                            40.5000                       2.688147E-07                       1.008573E+02                       3.037850E+02                       3.109988E-07
                            40.6800                       2.721258E-07                       1.008573E+02                       3.037850E+02                       3.148296E-07
                            40.8600                       2.754691E-07                       1.008573E+02                       3.037850E+02                       3.186975E-07
                            41.0400                       2.788446E-07                       1.008573E+02                       3.037850E+02                       3.226028E-07
                            41.2200                       2.822525E-07                       1.008573E+02                       3.037850E+02                       3.265454E-07
                            41.4000                       2.856928E-07                       1.008573E+02                       3.037850E+02                       3.305256E-07
                            41.5800                       2.891657E-07                       1.008573E+02                       3.037850E+02                       3.345435E-07
                            41.7600                       2.926714E-07                       1.008573E+02                       3.037850E+02                       3.385993E-07
                            41.9400                       2.962099E-07                       1.008573E+02                       3.037850E+02                       3.426931E-07
                            42.1200                       2.997815E-07                       1.008573E+02                       3.037850E+02                       3.468251E-07
                            42.3000                       3.033861E-07                       1.008573E+02                       3.037850E+02                       3.509955E-07
                            42.4800                       3.070240E-07                       1.008573E+02                       3.037850E+02                       3.552042E-07
                            42.6600                       3.106952E-07                       1.008573E+02                       3.037850E+02                       3.594516E-07
                            42.8400                       3.144000E-07                       1.008573E+02                       3.037850E+02                       3.637377E-07
                            43.0200                       3.181384E-07                       1.008573E+02                       3.037850E+02                       3.680628E-07
                            43.2000                       3.219105E-07                       1.008573E+02                       3.037850E+02                       3.724268E-07
                            43.3800                       3.257165E-07                       1.008573E+02                       3.037850E+02                       3.768301E-07
                            43.5600                       3.295565E-07                       1.008573E+02                       3.037850E+02                       3.812726E-07
                            43.7400                       3.334306E-07                       1.008573E+02                       3.037850E+02                       3.857547E-07
                            43.9200                       3.373389E-07                       1.008573E+02                       3.037850E+02                       3.902763E-07
                            44.1000                       3.412816E-07                       1.008573E+02                       3.037850E+02                       3.948377E-07
                            44.2800                       3.452588E-07                       1.008573E+02                       3.037850E+02                       3.994390E-07
                            44.4600                       3.492705E-07                       1.008573E+02                       3.037850E+02                       4.040804E-07
                            44.6400                       3.533170E-07                       1.008573E+02                       3.037850E+02                       4.087619E-07
                            44.8200                       3.573984E-07                       1.008573E+02                       3.037850E+02                       4.134837E-07
                            45.0000                       3.615147E-07                       1.008573E+02                       3.037850E+02                       4.182460E-07
                            45.1800                       3.656661E-07                       1.008573E+02                       3.037850E+02                       4.230488E-07
                            45.3600                       3.698527E-07                       1.008573E+02                       3.037850E+02                       4.278924E-07
                            45.5400                       3.740746E-07                       1.008573E+02                       3.037850E+02                       4.327769E-07
                            45.7200                       3.783320E-07                       1.008573E+02                       3.037850E+02                       4.377023E-07
