                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   7.7400             1.123839E+02             2.182469E+00             4.824720E-02             1.885395E-01             1.124321E+02             2.371008E+00             2.306787E-01             8.976624E-02             1.255602E-01             4.097213E-02             4.771353E-01             1.112090E-01             1.209010E+01             9.532545E+00             8.149961E+00             3.073242E+01
                   7.9200             1.123537E+02             2.191916E+00             4.842347E-02             1.893544E-01             1.124022E+02             2.381270E+00             2.313450E-01             9.151413E-02             1.255677E-01             4.092451E-02             4.777345E-01             1.264706E-01             1.208564E+01             9.553077E+00             8.149502E+00             3.073242E+01
                   8.1000             1.122993E+02             2.208397E+00             4.858891E-02             1.907769E-01             1.123479E+02             2.399174E+00             2.319812E-01             9.325918E-02             1.255755E-01             4.087584E-02             4.783440E-01             1.417358E-01             1.208108E+01             9.574065E+00             8.149045E+00             3.073242E+01
                   8.2800             1.122191E+02             2.230868E+00             4.874263E-02             1.927168E-01             1.122679E+02             2.423585E+00             2.325845E-01             9.500186E-02             1.255835E-01             4.082613E-02             4.789640E-01             1.570082E-01             1.207642E+01             9.595507E+00             8.148592E+00             3.073242E+01
                   8.4600             1.121117E+02             2.258502E+00             4.888374E-02             1.951027E-01             1.121606E+02             2.453604E+00             2.331524E-01             9.674263E-02             1.255918E-01             4.077537E-02             4.795948E-01             1.722909E-01             1.207167E+01             9.617403E+00             8.148142E+00             3.073242E+01
                   8.6400             1.119755E+02             2.290613E+00             4.901057E-02             1.978753E-01             1.120245E+02             2.488488E+00             2.336217E-01             9.848203E-02             1.256003E-01             4.072357E-02             4.802367E-01             1.875876E-01             1.206683E+01             9.639752E+00             8.147696E+00             3.073242E+01
                   8.8200             1.118094E+02             2.326744E+00             4.912363E-02             2.009952E-01             1.118585E+02             2.527739E+00             2.341111E-01             1.002204E-01             1.256090E-01             4.067074E-02             4.808897E-01             2.029017E-01             1.206189E+01             9.662553E+00             8.147255E+00             3.073242E+01
                   9.0000             1.116118E+02             2.366421E+00             4.922111E-02             2.044213E-01             1.116610E+02             2.570843E+00             2.344967E-01             1.019583E-01             1.256179E-01             4.061688E-02             4.815543E-01             2.182368E-01             1.205685E+01             9.685806E+00             8.146819E+00             3.073242E+01
                   9.1800             1.113816E+02             2.409286E+00             4.930294E-02             2.081228E-01             1.114309E+02             2.617409E+00             2.348973E-01             1.036962E-01             1.256270E-01             4.056198E-02             4.822304E-01             2.335964E-01             1.205172E+01             9.709508E+00             8.146389E+00             3.073242E+01
                   9.3600             1.111175E+02             2.455073E+00             4.936754E-02             2.120767E-01             1.111669E+02             2.667150E+00             2.351891E-01             1.054345E-01             1.256363E-01             4.050606E-02             4.829184E-01             2.489844E-01             1.204650E+01             9.733658E+00             8.145965E+00             3.073242E+01
