                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                  15.1200             3.463722E+02             3.460417E+02             3.480250E+02             3.475649E+02             3.496922E+02             3.486987E+02             3.512874E+02             3.502027E+02             3.516606E+02             3.505187E+02
                  15.3000             3.463464E+02             3.460165E+02             3.480113E+02             3.475514E+02             3.496683E+02             3.486752E+02             3.512726E+02             3.501882E+02             3.516447E+02             3.505032E+02
                  15.4800             3.463206E+02             3.459913E+02             3.479976E+02             3.475379E+02             3.496444E+02             3.486517E+02             3.512577E+02             3.501737E+02             3.516288E+02             3.504877E+02
                  15.6600             3.462948E+02             3.459661E+02             3.479839E+02             3.475243E+02             3.496205E+02             3.486282E+02             3.512428E+02             3.501592E+02             3.516128E+02             3.504722E+02
                  15.8400             3.462690E+02             3.459409E+02             3.479702E+02             3.475108E+02             3.495967E+02             3.486048E+02             3.512279E+02             3.501447E+02             3.515968E+02             3.504566E+02
                  16.0200             3.462432E+02             3.459157E+02             3.479565E+02             3.474973E+02             3.495728E+02             3.485813E+02             3.512129E+02             3.501302E+02             3.515808E+02             3.504410E+02
                  16.2000             3.462174E+02             3.458905E+02             3.479428E+02             3.474837E+02             3.495490E+02             3.485579E+02             3.511980E+02             3.501157E+02             3.515648E+02             3.504255E+02
                  16.3800             3.461917E+02             3.458653E+02             3.479291E+02             3.474702E+02             3.495253E+02             3.485346E+02             3.511830E+02             3.501011E+02             3.515487E+02             3.504098E+02
                  16.5600             3.461659E+02             3.458402E+02             3.479153E+02             3.474566E+02             3.495015E+02             3.485112E+02             3.511681E+02             3.500866E+02             3.515327E+02             3.503942E+02
                  16.7400             3.461402E+02             3.458150E+02             3.479016E+02             3.474431E+02             3.494778E+02             3.484878E+02             3.511531E+02             3.500720E+02             3.515166E+02             3.503785E+02
                  16.9200             3.461144E+02             3.457899E+02             3.478878E+02             3.474295E+02             3.494541E+02             3.484645E+02             3.511381E+02             3.500575E+02             3.515005E+02             3.503629E+02
                  17.1000             3.460887E+02             3.457647E+02             3.478741E+02             3.474159E+02             3.494304E+02             3.484412E+02             3.511231E+02             3.500429E+02             3.514843E+02             3.503472E+02
                  17.2800             3.460630E+02             3.457396E+02             3.478603E+02             3.474023E+02             3.494068E+02             3.484179E+02             3.511081E+02             3.500283E+02             3.514682E+02             3.503314E+02
                  17.4600             3.460373E+02             3.457145E+02             3.478466E+02             3.473887E+02             3.493831E+02             3.483947E+02             3.510930E+02             3.500136E+02             3.514520E+02             3.503157E+02
                  17.6400             3.460116E+02             3.456894E+02             3.478328E+02             3.473751E+02             3.493595E+02             3.483714E+02             3.510780E+02             3.499990E+02             3.514358E+02             3.502999E+02
                  17.8200             3.459859E+02             3.456643E+02             3.478190E+02             3.473615E+02             3.493360E+02             3.483482E+02             3.510629E+02             3.499844E+02             3.514196E+02             3.502842E+02
                  18.0000             3.459603E+02             3.456392E+02             3.478052E+02             3.473479E+02             3.493124E+02             3.483250E+02             3.510479E+02             3.499697E+02             3.514034E+02             3.502684E+02
                  18.1800             3.459346E+02             3.456142E+02             3.477914E+02             3.473342E+02             3.492889E+02             3.483018E+02             3.510328E+02             3.499550E+02             3.513871E+02             3.502525E+02
                  18.3600             3.459090E+02             3.455891E+02             3.477776E+02             3.473206E+02             3.492654E+02             3.482787E+02             3.510177E+02             3.499403E+02             3.513708E+02             3.502367E+02
                  18.5400             3.458834E+02             3.455641E+02             3.477637E+02             3.473069E+02             3.492420E+02             3.482556E+02             3.510025E+02             3.499256E+02             3.513545E+02             3.502208E+02
                  18.7200             3.458578E+02             3.455391E+02             3.477499E+02             3.472932E+02             3.492186E+02             3.482325E+02             3.509874E+02             3.499109E+02             3.513382E+02             3.502049E+02
                  18.9000             3.458323E+02             3.455141E+02             3.477361E+02             3.472796E+02             3.491952E+02             3.482094E+02             3.509723E+02             3.498962E+02             3.513219E+02             3.501890E+02
                  19.0800             3.458068E+02             3.454891E+02             3.477222E+02             3.472659E+02             3.491719E+02             3.481864E+02             3.509571E+02             3.498815E+02             3.513055E+02             3.501731E+02
                  19.2600             3.457813E+02             3.454642E+02             3.477084E+02             3.472522E+02             3.491486E+02             3.481634E+02             3.509419E+02             3.498667E+02             3.512892E+02             3.501572E+02
                  19.4400             3.457558E+02             3.454393E+02             3.476945E+02             3.472385E+02             3.491253E+02             3.481405E+02             3.509268E+02             3.498520E+02             3.512728E+02             3.501412E+02
                  19.6200             3.457304E+02             3.454144E+02             3.476806E+02             3.472248E+02             3.491021E+02             3.481175E+02             3.509116E+02             3.498372E+02             3.512564E+02             3.501252E+02
                  19.8000             3.457049E+02             3.453896E+02             3.476668E+02             3.472111E+02             3.490789E+02             3.480947E+02             3.508964E+02             3.498224E+02             3.512399E+02             3.501092E+02
                  19.9800             3.456796E+02             3.453648E+02             3.476529E+02             3.471974E+02             3.490558E+02             3.480718E+02             3.508812E+02             3.498076E+02             3.512235E+02             3.500932E+02
                  20.1600             3.456543E+02             3.453400E+02             3.476390E+02             3.471836E+02             3.490327E+02             3.480490E+02             3.508660E+02             3.497928E+02             3.512071E+02             3.500772E+02
                  20.3400             3.456290E+02             3.453152E+02             3.476251E+02             3.471699E+02             3.490097E+02             3.480263E+02             3.508508E+02             3.497780E+02             3.511906E+02             3.500612E+02
                  20.5200             3.456037E+02             3.452905E+02             3.476112E+02             3.471562E+02             3.489867E+02             3.480036E+02             3.508355E+02             3.497632E+02             3.511742E+02             3.500451E+02
                  20.7000             3.455785E+02             3.452659E+02             3.475973E+02             3.471424E+02             3.489638E+02             3.479809E+02             3.508203E+02             3.497484E+02             3.511577E+02             3.500291E+02
                  20.8800             3.455534E+02             3.452413E+02             3.475834E+02             3.471287E+02             3.489409E+02             3.479583E+02             3.508051E+02             3.497336E+02             3.511412E+02             3.500130E+02
                  21.0600             3.455283E+02             3.452167E+02             3.475696E+02             3.471149E+02             3.489181E+02             3.479357E+02             3.507899E+02             3.497188E+02             3.511247E+02             3.499969E+02
                  21.2400             3.455032E+02             3.451922E+02             3.475557E+02             3.471012E+02             3.488954E+02             3.479132E+02             3.507746E+02             3.497039E+02             3.511082E+02             3.499808E+02
                  21.4200             3.454782E+02             3.451677E+02             3.475418E+02             3.470875E+02             3.488727E+02             3.478907E+02             3.507594E+02             3.496891E+02             3.510917E+02             3.499647E+02
                  21.6000             3.454533E+02             3.451432E+02             3.475279E+02             3.470737E+02             3.488500E+02             3.478683E+02             3.507441E+02             3.496743E+02             3.510752E+02             3.499486E+02
                  21.7800             3.454284E+02             3.451189E+02             3.475140E+02             3.470600E+02             3.488275E+02             3.478460E+02             3.507289E+02             3.496594E+02             3.510587E+02             3.499325E+02
                  21.9600             3.454036E+02             3.450946E+02             3.475001E+02             3.470462E+02             3.488050E+02             3.478237E+02             3.507137E+02             3.496446E+02             3.510421E+02             3.499164E+02
                  22.1400             3.453788E+02             3.450703E+02             3.474862E+02             3.470325E+02             3.487825E+02             3.478015E+02             3.506985E+02             3.496298E+02             3.510256E+02             3.499003E+02
                  22.3200             3.453541E+02             3.450461E+02             3.474723E+02             3.470187E+02             3.487602E+02             3.477793E+02             3.506832E+02             3.496150E+02             3.510091E+02             3.498842E+02
                  22.5000             3.453295E+02             3.450219E+02             3.474584E+02             3.470050E+02             3.487379E+02             3.477572E+02             3.506680E+02             3.496001E+02             3.509926E+02             3.498681E+02
                  22.6800             3.453049E+02             3.449979E+02             3.474446E+02             3.469912E+02             3.487157E+02             3.477352E+02             3.506528E+02             3.495853E+02             3.509761E+02             3.498519E+02
                  22.8600             3.452804E+02             3.449738E+02             3.474307E+02             3.469775E+02             3.486935E+02             3.477132E+02             3.506376E+02             3.495705E+02             3.509596E+02             3.498358E+02
                  23.0400             3.452560E+02             3.449499E+02             3.474168E+02             3.469638E+02             3.486714E+02             3.476913E+02             3.506224E+02             3.495557E+02             3.509430E+02             3.498197E+02
                  23.2200             3.452316E+02             3.449260E+02             3.474030E+02             3.469501E+02             3.486494E+02             3.476695E+02             3.506072E+02             3.495409E+02             3.509265E+02             3.498036E+02
                  23.4000             3.452073E+02             3.449022E+02             3.473891E+02             3.469364E+02             3.486275E+02             3.476477E+02             3.505920E+02             3.495261E+02             3.509100E+02             3.497875E+02
                  23.5800             3.451831E+02             3.448784E+02             3.473753E+02             3.469226E+02             3.486057E+02             3.476260E+02             3.505769E+02             3.495113E+02             3.508935E+02             3.497714E+02
                  23.7600             3.451590E+02             3.448548E+02             3.473615E+02             3.469089E+02             3.485839E+02             3.476044E+02             3.505617E+02             3.494965E+02             3.508771E+02             3.497553E+02
                  23.9400             3.451349E+02             3.448312E+02             3.473477E+02             3.468953E+02             3.485622E+02             3.475829E+02             3.505466E+02             3.494818E+02             3.508606E+02             3.497392E+02
                  24.1200             3.451110E+02             3.448076E+02             3.473339E+02             3.468816E+02             3.485406E+02             3.475614E+02             3.505314E+02             3.494670E+02             3.508441E+02             3.497231E+02
                  24.3000             3.450871E+02             3.447842E+02             3.473201E+02             3.468679E+02             3.485191E+02             3.475400E+02             3.505163E+02             3.494523E+02             3.508277E+02             3.497070E+02
                  24.4800             3.450632E+02             3.447608E+02             3.473063E+02             3.468543E+02             3.484977E+02             3.475187E+02             3.505012E+02             3.494375E+02             3.508112E+02             3.496909E+02
                  24.6600             3.450395E+02             3.447375E+02             3.472926E+02             3.468406E+02             3.484763E+02             3.474975E+02             3.504861E+02             3.494228E+02             3.507948E+02             3.496749E+02
                  24.8400             3.450159E+02             3.447143E+02             3.472788E+02             3.468270E+02             3.484550E+02             3.474763E+02             3.504710E+02             3.494081E+02             3.507784E+02             3.496588E+02
                  25.0200             3.449923E+02             3.446911E+02             3.472651E+02             3.468134E+02             3.484339E+02             3.474553E+02             3.504560E+02             3.493934E+02             3.507620E+02             3.496428E+02
                  25.2000             3.449688E+02             3.446681E+02             3.472514E+02             3.467998E+02             3.484128E+02             3.474343E+02             3.504410E+02             3.493787E+02             3.507456E+02             3.496267E+02
