                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                  19.6200            -4.657791E+01            -5.332879E+01            -3.749773E+01             6.040336E+00             4.470810E+01             2.197332E+01             4.981608E+01
                  19.8000            -4.698200E+01            -5.340721E+01            -3.786057E+01             6.029005E+00             4.506917E+01             2.202819E+01             5.016444E+01
                  19.9800            -4.738530E+01            -5.348552E+01            -3.822282E+01             6.017461E+00             4.542932E+01             2.208327E+01             5.051232E+01
                  20.1600            -4.778780E+01            -5.356371E+01            -3.858447E+01             6.005710E+00             4.578857E+01             2.213853E+01             5.085969E+01
                  20.3400            -4.818947E+01            -5.364177E+01            -3.894552E+01             5.993756E+00             4.614691E+01             2.219394E+01             5.120652E+01
                  20.5200            -4.859029E+01            -5.371967E+01            -3.930596E+01             5.981604E+00             4.650433E+01             2.224945E+01             5.155280E+01
                  20.7000            -4.899027E+01            -5.379741E+01            -3.966578E+01             5.969258E+00             4.686084E+01             2.230504E+01             5.189849E+01
                  20.8800            -4.938937E+01            -5.387496E+01            -4.002496E+01             5.956724E+00             4.721643E+01             2.236067E+01             5.224357E+01
                  21.0600            -4.978759E+01            -5.395232E+01            -4.038351E+01             5.944005E+00             4.757111E+01             2.241630E+01             5.258803E+01
                  21.2400            -5.018491E+01            -5.402948E+01            -4.074141E+01             5.931105E+00             4.792486E+01             2.247192E+01             5.293183E+01
                  21.4200            -5.058132E+01            -5.410641E+01            -4.109866E+01             5.918029E+00             4.827769E+01             2.252747E+01             5.327497E+01
                  21.6000            -5.097680E+01            -5.418311E+01            -4.145525E+01             5.904779E+00             4.862960E+01             2.258294E+01             5.361742E+01
                  21.7800            -5.137134E+01            -5.425957E+01            -4.181116E+01             5.891359E+00             4.898059E+01             2.263830E+01             5.395916E+01
                  21.9600            -5.176492E+01            -5.433578E+01            -4.216640E+01             5.877773E+00             4.933065E+01             2.269351E+01             5.430017E+01
