                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                  14.5800             1.153437E-01            -1.349073E-01            -4.032276E-04             2.525878E-02            -1.100517E-01             5.905513E-01             7.700267E-02             4.804995E-01
                  14.7600             1.158800E-01            -1.363547E-01            -4.074900E-04             2.555245E-02            -1.112097E-01             5.912944E-01             7.697281E-02             4.800847E-01
                  14.9400             1.164160E-01            -1.377943E-01            -4.117272E-04             2.584592E-02            -1.123602E-01             5.920337E-01             7.694126E-02             4.796735E-01
                  15.1200             1.169515E-01            -1.392262E-01            -4.159390E-04             2.613920E-02            -1.135030E-01             5.927695E-01             7.690834E-02             4.792665E-01
                  15.3000             1.174866E-01            -1.406503E-01            -4.201252E-04             2.643231E-02            -1.146381E-01             5.935023E-01             7.687442E-02             4.788642E-01
                  15.4800             1.180213E-01            -1.420663E-01            -4.242855E-04             2.672526E-02            -1.157654E-01             5.942324E-01             7.683996E-02             4.784670E-01
                  15.6600             1.185556E-01            -1.434744E-01            -4.284197E-04             2.701807E-02            -1.168848E-01             5.949603E-01             7.680550E-02             4.780756E-01
                  15.8400             1.190893E-01            -1.448744E-01            -4.325276E-04             2.731076E-02            -1.179962E-01             5.956868E-01             7.677164E-02             4.776906E-01
                  16.0200             1.196226E-01            -1.462662E-01            -4.366090E-04             2.760333E-02            -1.190995E-01             5.964124E-01             7.673907E-02             4.773130E-01
                  16.2000             1.201554E-01            -1.476498E-01            -4.406636E-04             2.789581E-02            -1.201947E-01             5.971380E-01             7.670851E-02             4.769433E-01
                  16.3800             1.206878E-01            -1.490251E-01            -4.446912E-04             2.818821E-02            -1.212816E-01             5.978642E-01             7.668071E-02             4.765826E-01
                  16.5600             1.212196E-01            -1.503920E-01            -4.486915E-04             2.848053E-02            -1.223602E-01             5.985919E-01             7.665648E-02             4.762318E-01
