                   Degree   dvdtheta1_suc[mm3/rad]   dvdtheta1_com[mm3/rad]
                  97.3800             5.561508E-06            -5.561508E-06
                  97.5600             5.577500E-06            -5.577500E-06
                  97.7400             5.593484E-06            -5.593484E-06
                  97.9200             5.609459E-06            -5.609459E-06
                  98.1000             5.625426E-06            -5.625426E-06
                  98.2800             5.641385E-06            -5.641385E-06
                  98.4600             5.657334E-06            -5.657334E-06
                  98.6400             5.673275E-06            -5.673275E-06
                  98.8200             5.689207E-06            -5.689207E-06
                  99.0000             5.705130E-06            -5.705130E-06
                  99.1800             5.721043E-06            -5.721043E-06
                  99.3600             5.736947E-06            -5.736947E-06
                  99.5400             5.752841E-06            -5.752841E-06
                  99.7200             5.768726E-06            -5.768726E-06
                  99.9000             5.784600E-06            -5.784600E-06
                 100.0800             5.800465E-06            -5.800465E-06
                 100.2600             5.816320E-06            -5.816320E-06
                 100.4400             5.832164E-06            -5.832164E-06
                 100.6200             5.847998E-06            -5.847998E-06
                 100.8000             5.863821E-06            -5.863821E-06
                 100.9800             5.879633E-06            -5.879633E-06
                 101.1600             5.895435E-06            -5.895435E-06
                 101.3400             5.911226E-06            -5.911226E-06
                 101.5200             5.927005E-06            -5.927005E-06
                 101.7000             5.942773E-06            -5.942773E-06
                 101.8800             5.958530E-06            -5.958530E-06
                 102.0600             5.974276E-06            -5.974276E-06
                 102.2400             5.990009E-06            -5.990009E-06
                 102.4200             6.005731E-06            -6.005731E-06
                 102.6000             6.021441E-06            -6.021441E-06
                 102.7800             6.037138E-06            -6.037138E-06
                 102.9600             6.052824E-06            -6.052824E-06
                 103.1400             6.068497E-06            -6.068497E-06
                 103.3200             6.084158E-06            -6.084158E-06
                 103.5000             6.099805E-06            -6.099805E-06
