                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                  22.8600             6.502136E+01            -3.919041E+01             1.042118E+02             0.000000E+00            -4.678225E+01            -1.385963E-01             7.730434E+00             1.003488E+01
                  23.0400             6.502057E+01            -3.938461E+01             1.044052E+02             0.000000E+00            -4.703108E+01            -1.393002E-01             7.785765E+00             1.003676E+01
                  23.2200             6.502170E+01            -3.957639E+01             1.045981E+02             0.000000E+00            -4.727734E+01            -1.399959E-01             7.840949E+00             1.003863E+01
                  23.4000             6.501873E+01            -3.976573E+01             1.047845E+02             0.000000E+00            -4.752104E+01            -1.406835E-01             7.895988E+00             1.003448E+01
                  23.5800             6.502380E+01            -3.995264E+01             1.049764E+02             0.000000E+00            -4.776216E+01            -1.413628E-01             7.950883E+00             1.003645E+01
                  23.7600             6.503080E+01            -4.013708E+01             1.051679E+02             0.000000E+00            -4.800068E+01            -1.420339E-01             8.005633E+00             1.003841E+01
                  23.9400             6.503401E+01            -4.031906E+01             1.053531E+02             0.000000E+00            -4.823660E+01            -1.426967E-01             8.060242E+00             1.003464E+01
                  24.1200             6.504500E+01            -4.049856E+01             1.055436E+02             0.000000E+00            -4.846992E+01            -1.433512E-01             8.114708E+00             1.003669E+01
                  24.3000             6.505794E+01            -4.067557E+01             1.057335E+02             0.000000E+00            -4.870061E+01            -1.439974E-01             8.169034E+00             1.003873E+01
                  24.4800             6.506740E+01            -4.085008E+01             1.059175E+02             0.000000E+00            -4.892867E+01            -1.446352E-01             8.223221E+00             1.003532E+01
                  24.6600             6.508437E+01            -4.102209E+01             1.061065E+02             0.000000E+00            -4.915409E+01            -1.452646E-01             8.277269E+00             1.003743E+01
                  24.8400             6.510331E+01            -4.119157E+01             1.062949E+02             0.000000E+00            -4.937686E+01            -1.458856E-01             8.331179E+00             1.003954E+01
                  25.0200             6.511908E+01            -4.135852E+01             1.064776E+02             0.000000E+00            -4.959697E+01            -1.464983E-01             8.384953E+00             1.003648E+01
                  25.2000             6.514209E+01            -4.152293E+01             1.066650E+02             0.000000E+00            -4.981442E+01            -1.471024E-01             8.438591E+00             1.003865E+01
                  25.3800             6.516214E+01            -4.168479E+01             1.068469E+02             0.000000E+00            -5.002919E+01            -1.476981E-01             8.492094E+00             1.003584E+01
                  25.5600             6.518925E+01            -4.184410E+01             1.070333E+02             0.000000E+00            -5.024128E+01            -1.482853E-01             8.545464E+00             1.003807E+01
                  25.7400             6.521836E+01            -4.200083E+01             1.072192E+02             0.000000E+00            -5.045067E+01            -1.488640E-01             8.598701E+00             1.004028E+01
                  25.9200             6.524482E+01            -4.215499E+01             1.073998E+02             0.000000E+00            -5.065736E+01            -1.494342E-01             8.651806E+00             1.003778E+01
                  26.1000             6.527807E+01            -4.230656E+01             1.075846E+02             0.000000E+00            -5.086134E+01            -1.499958E-01             8.704780E+00             1.004004E+01
                  26.2800             6.530886E+01            -4.245553E+01             1.077644E+02             0.000000E+00            -5.106261E+01            -1.505488E-01             8.757623E+00             1.003778E+01
                  26.4600             6.534628E+01            -4.260191E+01             1.079482E+02             0.000000E+00            -5.126115E+01            -1.510933E-01             8.810338E+00             1.004008E+01
                  26.6400             6.538141E+01            -4.274567E+01             1.081271E+02             0.000000E+00            -5.145696E+01            -1.516291E-01             8.862923E+00             1.003803E+01
                  26.8200             6.542303E+01            -4.288681E+01             1.083098E+02             0.000000E+00            -5.165003E+01            -1.521564E-01             8.915381E+00             1.004037E+01
                  27.0000             6.546254E+01            -4.302532E+01             1.084879E+02             0.000000E+00            -5.184036E+01            -1.526750E-01             8.967712E+00             1.003853E+01
                  27.1800             6.550837E+01            -4.316120E+01             1.086696E+02             0.000000E+00            -5.202793E+01            -1.531849E-01             9.019916E+00             1.004090E+01
                  27.3600             6.555228E+01            -4.329444E+01             1.088467E+02             0.000000E+00            -5.221275E+01            -1.536862E-01             9.071994E+00             1.003925E+01
                  27.5400             6.560235E+01            -4.342503E+01             1.090274E+02             0.000000E+00            -5.239480E+01            -1.541788E-01             9.123947E+00             1.004165E+01
                  27.7200             6.565067E+01            -4.355296E+01             1.092036E+02             0.000000E+00            -5.257407E+01            -1.546627E-01             9.175776E+00             1.004018E+01
                  27.9000             6.570125E+01            -4.367823E+01             1.093795E+02             0.000000E+00            -5.275057E+01            -1.551379E-01             9.227480E+00             1.003884E+01
                  28.0800             6.575777E+01            -4.380083E+01             1.095586E+02             0.000000E+00            -5.292429E+01            -1.556044E-01             9.279061E+00             1.004130E+01
                  28.2600             6.581279E+01            -4.392076E+01             1.097336E+02             0.000000E+00            -5.309522E+01            -1.560622E-01             9.330518E+00             1.004013E+01
                  28.4400             6.587008E+01            -4.403801E+01             1.099081E+02             0.000000E+00            -5.326335E+01            -1.565112E-01             9.381852E+00             1.003907E+01
