                   Degree             Length_v[mm]
                 163.2600             8.602352E+00
                 163.4400             8.605962E+00
                 163.6200             8.609533E+00
                 163.8000             8.613066E+00
                 163.9800             8.616561E+00
                 164.1600             8.620018E+00
                 164.3400             8.623436E+00
                 164.5200             8.626816E+00
                 164.7000             8.630157E+00
                 164.8800             8.633461E+00
                 165.0600             8.636725E+00
                 165.2400             8.639952E+00
                 165.4200             8.643140E+00
                 165.6000             8.646289E+00
                 165.7800             8.649400E+00
                 165.9600             8.652473E+00
                 166.1400             8.655506E+00
                 166.3200             8.658502E+00
                 166.5000             8.661458E+00
                 166.6800             8.664377E+00
                 166.8600             8.667256E+00
                 167.0400             8.670097E+00
