                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                  42.3000             2.374147E+01             1.159732E-01             2.406253E-01             5.001797E-01            -1.225811E-02
                  42.4800             2.374121E+01             1.162560E-01             2.407686E-01             5.001851E-01            -1.377997E-02
                  42.6600             2.374107E+01             1.165340E-01             2.408966E-01             5.001880E-01            -8.152751E-03
                  42.8400             2.374081E+01             1.168136E-01             2.410364E-01             5.001935E-01            -9.103053E-03
                  43.0200             2.374055E+01             1.170912E-01             2.411750E-01             5.001990E-01            -9.700328E-03
                  43.2000             2.374029E+01             1.173670E-01             2.413124E-01             5.002045E-01            -9.961783E-03
                  43.3800             2.374002E+01             1.176414E-01             2.414484E-01             5.002100E-01            -9.901387E-03
                  43.5600             2.373976E+01             1.179142E-01             2.415832E-01             5.002156E-01            -9.532418E-03
                  43.7400             2.373950E+01             1.181853E-01             2.417168E-01             5.002211E-01            -8.864067E-03
                  43.9200             2.373923E+01             1.184546E-01             2.418493E-01             5.002267E-01            -7.910734E-03
                  44.1000             2.373897E+01             1.187228E-01             2.419809E-01             5.002323E-01            -6.683806E-03
                  44.2800             2.373857E+01             1.189904E-01             2.421196E-01             5.002405E-01            -1.061991E-02
                  44.4600             2.373831E+01             1.192552E-01             2.422481E-01             5.002462E-01            -8.742760E-03
                  44.6400             2.373804E+01             1.195183E-01             2.423762E-01             5.002518E-01            -6.620662E-03
                  44.8200             2.373790E+01             1.197792E-01             2.425026E-01             5.002547E-01             7.742964E-04
                  45.0000             2.373789E+01             1.200424E-01             2.426481E-01             5.002550E-01             1.305865E-02
                  45.1800             2.373788E+01             1.203082E-01             2.428199E-01             5.002552E-01             2.508017E-02
                  45.3600             2.373787E+01             1.205766E-01             2.430162E-01             5.002554E-01             3.684092E-02
                  45.5400             2.373786E+01             1.208479E-01             2.432358E-01             5.002556E-01             4.835534E-02
                  45.7200             2.373785E+01             1.211214E-01             2.434773E-01             5.002557E-01             5.962507E-02
                  45.9000             2.373784E+01             1.213968E-01             2.437394E-01             5.002559E-01             7.066430E-02
                  46.0800             2.373784E+01             1.216743E-01             2.440208E-01             5.002561E-01             8.147443E-02
                  46.2600             2.373783E+01             1.219532E-01             2.443207E-01             5.002562E-01             9.206941E-02
                  46.4400             2.373782E+01             1.222331E-01             2.446377E-01             5.002564E-01             1.024504E-01
                  46.6200             2.373782E+01             1.225145E-01             2.449712E-01             5.002565E-01             1.126313E-01
                  46.8000             2.373781E+01             1.227969E-01             2.453200E-01             5.002566E-01             1.226130E-01
                  46.9800             2.373781E+01             1.230798E-01             2.456836E-01             5.002567E-01             1.324095E-01
                  47.1600             2.373780E+01             1.233634E-01             2.460609E-01             5.002568E-01             1.420215E-01
                  47.3400             2.373780E+01             1.236475E-01             2.464515E-01             5.002569E-01             1.514629E-01
                  47.5200             2.373779E+01             1.239322E-01             2.468545E-01             5.002570E-01             1.607347E-01
                  47.7000             2.373779E+01             1.242170E-01             2.472696E-01             5.002571E-01             1.698495E-01
                  47.8800             2.373778E+01             1.245018E-01             2.476962E-01             5.002572E-01             1.788126E-01
                  48.0600             2.373778E+01             1.247863E-01             2.481337E-01             5.002572E-01             1.876307E-01
                  48.2400             2.373779E+01             1.250889E-01             2.486932E-01             5.002571E-01             1.992010E-01
                  48.4200             2.373778E+01             1.253737E-01             2.491554E-01             5.002572E-01             2.077180E-01
                  48.6000             2.373778E+01             1.256586E-01             2.496275E-01             5.002572E-01             2.161128E-01
                  48.7800             2.373778E+01             1.259427E-01             2.501094E-01             5.002572E-01             2.243958E-01
                  48.9600             2.373778E+01             1.262267E-01             2.506012E-01             5.002573E-01             2.325819E-01
                  49.1400             2.373778E+01             1.265105E-01             2.511029E-01             5.002573E-01             2.406763E-01
                  49.3200             2.373778E+01             1.267939E-01             2.516148E-01             5.002573E-01             2.486951E-01
                  49.5000             2.374988E+01             1.293508E-01             2.704964E-01             5.000026E-01             4.975398E-01
                  49.6800             2.374988E+01             1.295771E-01             2.706644E-01             5.000026E-01             4.976197E-01
                  49.8600             2.374988E+01             1.298018E-01             2.708313E-01             5.000026E-01             4.976992E-01
                  50.0400             2.374988E+01             1.300248E-01             2.709970E-01             5.000026E-01             4.977786E-01
                  50.2200             2.374988E+01             1.302463E-01             2.711618E-01             5.000026E-01             4.978581E-01
                  50.4000             2.374988E+01             1.304661E-01             2.713254E-01             5.000026E-01             4.979380E-01
                  50.5800             2.374988E+01             1.306843E-01             2.714881E-01             5.000026E-01             4.980186E-01
                  50.7600             2.374988E+01             1.309009E-01             2.716498E-01             5.000026E-01             4.981006E-01
                  50.9400             2.374988E+01             1.311159E-01             2.718107E-01             5.000026E-01             4.981845E-01
                  51.1200             2.374988E+01             1.313293E-01             2.719707E-01             5.000026E-01             4.982716E-01
                  51.3000             2.374987E+01             1.315411E-01             2.721301E-01             5.000026E-01             4.983635E-01
                  51.4800             2.374987E+01             1.317513E-01             2.722893E-01             5.000026E-01             4.984634E-01
