                   Degree                T_ocsc[K]                T_ocdc[K]                T_rosc[K]                T_rodc[K]              T_roller[K]               T_uocsc[K]               T_locsc[K]               T_uocdc[K]               T_locdc[K]
                  26.1000             3.412404E+02             3.430858E+02             3.438261E+02             3.455193E+02             3.460928E+02             3.424643E+02             3.413671E+02             3.435802E+02             3.425962E+02
                  26.2800             3.412108E+02             3.430623E+02             3.437990E+02             3.454957E+02             3.460679E+02             3.424346E+02             3.413365E+02             3.435564E+02             3.425713E+02
                  26.4600             3.411812E+02             3.430387E+02             3.437718E+02             3.454721E+02             3.460430E+02             3.424049E+02             3.413060E+02             3.435327E+02             3.425465E+02
                  26.6400             3.411517E+02             3.430152E+02             3.437448E+02             3.454485E+02             3.460181E+02             3.423753E+02             3.412755E+02             3.435090E+02             3.425216E+02
                  26.8200             3.411222E+02             3.429917E+02             3.437178E+02             3.454249E+02             3.459932E+02             3.423457E+02             3.412450E+02             3.434852E+02             3.424967E+02
                  27.0000             3.410929E+02             3.429682E+02             3.436909E+02             3.454013E+02             3.459683E+02             3.423162E+02             3.412146E+02             3.434615E+02             3.424718E+02
                  27.1800             3.410636E+02             3.429447E+02             3.436640E+02             3.453778E+02             3.459435E+02             3.422868E+02             3.411843E+02             3.434379E+02             3.424469E+02
                  27.3600             3.410344E+02             3.429212E+02             3.436373E+02             3.453543E+02             3.459187E+02             3.422575E+02             3.411540E+02             3.434142E+02             3.424221E+02
                  27.5400             3.410053E+02             3.428978E+02             3.436106E+02             3.453308E+02             3.458939E+02             3.422282E+02             3.411238E+02             3.433906E+02             3.423973E+02
                  27.7200             3.409763E+02             3.428744E+02             3.435840E+02             3.453073E+02             3.458691E+02             3.421990E+02             3.410937E+02             3.433670E+02             3.423725E+02
                  27.9000             3.409474E+02             3.428510E+02             3.435575E+02             3.452839E+02             3.458444E+02             3.421699E+02             3.410637E+02             3.433434E+02             3.423477E+02
                  28.0800             3.409185E+02             3.428277E+02             3.435311E+02             3.452605E+02             3.458197E+02             3.421408E+02             3.410337E+02             3.433199E+02             3.423229E+02
                  28.2600             3.408898E+02             3.428044E+02             3.435048E+02             3.452372E+02             3.457951E+02             3.421119E+02             3.410039E+02             3.432964E+02             3.422982E+02
                  28.4400             3.408612E+02             3.427811E+02             3.434786E+02             3.452139E+02             3.457705E+02             3.420830E+02             3.409741E+02             3.432730E+02             3.422735E+02
                  28.6200             3.408327E+02             3.427579E+02             3.434525E+02             3.451906E+02             3.457460E+02             3.420543E+02             3.409444E+02             3.432496E+02             3.422489E+02
                  28.8000             3.408043E+02             3.427348E+02             3.434266E+02             3.451674E+02             3.457215E+02             3.420256E+02             3.409148E+02             3.432263E+02             3.422243E+02
                  28.9800             3.407761E+02             3.427117E+02             3.434007E+02             3.451443E+02             3.456971E+02             3.419970E+02             3.408854E+02             3.432030E+02             3.421997E+02
                  29.1600             3.407479E+02             3.426887E+02             3.433749E+02             3.451212E+02             3.456727E+02             3.419686E+02             3.408560E+02             3.431798E+02             3.421753E+02
                  29.3400             3.407199E+02             3.426657E+02             3.433492E+02             3.450982E+02             3.456484E+02             3.419403E+02             3.408267E+02             3.431567E+02             3.421508E+02
                  29.5200             3.406920E+02             3.426428E+02             3.433237E+02             3.450753E+02             3.456242E+02             3.419120E+02             3.407976E+02             3.431336E+02             3.421265E+02
                  29.7000             3.406642E+02             3.426199E+02             3.432983E+02             3.450524E+02             3.456000E+02             3.418839E+02             3.407685E+02             3.431106E+02             3.421022E+02
                  29.8800             3.406366E+02             3.425972E+02             3.432730E+02             3.450296E+02             3.455759E+02             3.418559E+02             3.407396E+02             3.430877E+02             3.420779E+02
                  30.0600             3.406090E+02             3.425745E+02             3.432478E+02             3.450069E+02             3.455519E+02             3.418280E+02             3.407108E+02             3.430648E+02             3.420538E+02
                  30.2400             3.405817E+02             3.425518E+02             3.432227E+02             3.449842E+02             3.455280E+02             3.418003E+02             3.406821E+02             3.430420E+02             3.420297E+02
                  30.4200             3.405544E+02             3.425293E+02             3.431978E+02             3.449617E+02             3.455041E+02             3.417726E+02             3.406536E+02             3.430193E+02             3.420057E+02
                  30.6000             3.405273E+02             3.425068E+02             3.431730E+02             3.449392E+02             3.454804E+02             3.417451E+02             3.406251E+02             3.429967E+02             3.419817E+02
                  30.7800             3.405003E+02             3.424845E+02             3.431483E+02             3.449168E+02             3.454567E+02             3.417177E+02             3.405968E+02             3.429742E+02             3.419579E+02
