                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                  52.7400            -8.229843E-02            -7.069633E+00             1.566195E+03
                  52.9200            -8.247251E-02            -7.030938E+00             1.568211E+03
                  53.1000            -8.264564E-02            -6.992193E+00             1.570203E+03
                  53.2800            -8.281781E-02            -6.953400E+00             1.572169E+03
                  53.4600            -8.298902E-02            -6.914558E+00             1.574110E+03
                  53.6400            -8.315927E-02            -6.875668E+00             1.576027E+03
                  53.8200            -8.332856E-02            -6.836732E+00             1.577919E+03
                  54.0000            -8.349688E-02            -6.797749E+00             1.579787E+03
                  54.1800            -8.366425E-02            -6.758720E+00             1.581629E+03
                  54.3600            -8.383065E-02            -6.719646E+00             1.583447E+03
                  54.5400            -8.399608E-02            -6.680528E+00             1.585241E+03
                  54.7200            -8.416055E-02            -6.641365E+00             1.587010E+03
                  54.9000            -8.432405E-02            -6.602159E+00             1.588754E+03
                  55.0800            -8.448658E-02            -6.562911E+00             1.590474E+03
                  55.2600            -8.464814E-02            -6.523620E+00             1.592169E+03
                  55.4400            -8.480873E-02            -6.484287E+00             1.593840E+03
                  55.6200            -8.496835E-02            -6.444914E+00             1.595487E+03
                  55.8000            -8.512700E-02            -6.405500E+00             1.597110E+03
                  55.9800            -8.528468E-02            -6.366046E+00             1.598708E+03
                  56.1600            -8.544137E-02            -6.326554E+00             1.600282E+03
                  56.3400            -8.559710E-02            -6.287022E+00             1.601832E+03
                  56.5200            -8.575184E-02            -6.247453E+00             1.603358E+03
                  56.7000            -8.590561E-02            -6.207846E+00             1.604860E+03
                  56.8800            -8.605840E-02            -6.168203E+00             1.606337E+03
                  57.0600            -8.621022E-02            -6.128523E+00             1.607791E+03
                  57.2400            -8.636105E-02            -6.088807E+00             1.609221E+03
                  57.4200            -8.651090E-02            -6.049057E+00             1.610627E+03
                  57.6000            -8.665977E-02            -6.009272E+00             1.612009E+03
                  57.7800            -8.680765E-02            -5.969454E+00             1.613367E+03
                  57.9600            -8.695455E-02            -5.929602E+00             1.614702E+03
                  58.1400            -8.710047E-02            -5.889717E+00             1.616013E+03
                  58.3200            -8.724540E-02            -5.849800E+00             1.617300E+03
                  58.5000            -8.738935E-02            -5.809852E+00             1.618564E+03
                  58.6800            -8.753231E-02            -5.769873E+00             1.619804E+03
                  58.8600            -8.767428E-02            -5.729863E+00             1.621021E+03
                  59.0400            -8.781526E-02            -5.689824E+00             1.622215E+03
                  59.2200            -8.795526E-02            -5.649756E+00             1.623385E+03
                  59.4000            -8.809426E-02            -5.609659E+00             1.624532E+03
                  59.5800            -8.823228E-02            -5.569534E+00             1.625655E+03
                  59.7600            -8.836930E-02            -5.529381E+00             1.626755E+03
                  59.9400            -8.850534E-02            -5.489201E+00             1.627832E+03
                  60.1200            -8.864037E-02            -5.448996E+00             1.628886E+03
                  60.3000            -8.877442E-02            -5.408764E+00             1.629918E+03
                  60.4800            -8.890747E-02            -5.368507E+00             1.630926E+03
                  60.6600            -8.903953E-02            -5.328226E+00             1.631911E+03
                  60.8400            -8.917060E-02            -5.287921E+00             1.632873E+03
                  61.0200            -8.930066E-02            -5.247592E+00             1.633812E+03
                  61.2000            -8.942974E-02            -5.207240E+00             1.634729E+03
                  61.3800            -8.955781E-02            -5.166866E+00             1.635623E+03
                  61.5600            -8.968489E-02            -5.126470E+00             1.636495E+03
                  61.7400            -8.981097E-02            -5.086052E+00             1.637343E+03
                  61.9200            -8.993605E-02            -5.045614E+00             1.638170E+03
                  62.1000            -9.006014E-02            -5.005156E+00             1.638973E+03
                  62.2800            -9.018322E-02            -4.964679E+00             1.639755E+03
                  62.4600            -9.030531E-02            -4.924182E+00             1.640514E+03
                  62.6400            -9.042639E-02            -4.883667E+00             1.641251E+03
                  62.8200            -9.054647E-02            -4.843133E+00             1.641965E+03
                  63.0000            -9.066556E-02            -4.802583E+00             1.642658E+03
                  63.1800            -9.078364E-02            -4.762016E+00             1.643328E+03
                  63.3600            -9.090072E-02            -4.721432E+00             1.643976E+03
                  63.5400            -9.101680E-02            -4.680833E+00             1.644603E+03
                  63.7200            -9.113187E-02            -4.640218E+00             1.645207E+03
                  63.9000            -9.124594E-02            -4.599589E+00             1.645790E+03
                  64.0800            -9.135901E-02            -4.558945E+00             1.646350E+03
                  64.2600            -9.147108E-02            -4.518288E+00             1.646889E+03
                  64.4400            -9.158214E-02            -4.477618E+00             1.647407E+03
                  64.6200            -9.169219E-02            -4.436936E+00             1.647902E+03
                  64.8000            -9.180124E-02            -4.396241E+00             1.648377E+03
                  64.9800            -9.190929E-02            -4.355535E+00             1.648829E+03
                  65.1600            -9.201633E-02            -4.314818E+00             1.649261E+03
                  65.3400            -9.212237E-02            -4.274091E+00             1.649671E+03
                  65.5200            -9.222740E-02            -4.233354E+00             1.650059E+03
                  65.7000            -9.233142E-02            -4.192607E+00             1.650427E+03
                  65.8800            -9.243444E-02            -4.151852E+00             1.650773E+03
                  66.0600            -9.253645E-02            -4.111088E+00             1.651098E+03
                  66.2400            -9.263746E-02            -4.070317E+00             1.651403E+03
                  66.4200            -9.273745E-02            -4.029538E+00             1.651686E+03
                  66.6000            -9.283645E-02            -3.988752E+00             1.651948E+03
                  66.7800            -9.293443E-02            -3.947961E+00             1.652190E+03
                  66.9600            -9.303141E-02            -3.907163E+00             1.652410E+03
                  67.1400            -9.312738E-02            -3.866361E+00             1.652611E+03
                  67.3200            -9.322234E-02            -3.825553E+00             1.652790E+03
                  67.5000            -9.331629E-02            -3.784742E+00             1.652949E+03
                  67.6800            -9.340924E-02            -3.743926E+00             1.653087E+03
                  67.8600            -9.350118E-02            -3.703108E+00             1.653205E+03
                  68.0400            -9.359211E-02            -3.662287E+00             1.653303E+03
                  68.2200            -9.368203E-02            -3.621464E+00             1.653380E+03
                  68.4000            -9.377095E-02            -3.580639E+00             1.653438E+03
                  68.5800            -9.385885E-02            -3.539813E+00             1.653475E+03
                  68.7600            -9.394575E-02            -3.498986E+00             1.653491E+03
                  68.9400            -9.403164E-02            -3.458159E+00             1.653488E+03
                  69.1200            -9.411653E-02            -3.417332E+00             1.653465E+03
                  69.3000            -9.420040E-02            -3.376506E+00             1.653422E+03
                  69.4800            -9.428327E-02            -3.335682E+00             1.653360E+03
                  69.6600            -9.436512E-02            -3.294859E+00             1.653277E+03
                  69.8400            -9.444598E-02            -3.254039E+00             1.653175E+03
                  70.0200            -9.452582E-02            -3.213221E+00             1.653053E+03
                  70.2000            -9.460465E-02            -3.172406E+00             1.652912E+03
