                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                  10.0800             8.931796E+01             4.646022E+00             3.352569E+00             6.843451E-01             8.596539E+01             5.330367E+00             0.000000E+00             1.275988E-02             6.800158E-01             4.281452E-02             6.113510E-01             9.229613E-01             1.279322E+01             1.252262E+01             1.062892E+01             2.435292E+01
                  10.2600             8.897914E+01             4.708450E+00             3.332276E+00             6.934667E-01             8.564686E+01             5.401916E+00             0.000000E+00             1.301748E-02             6.795684E-01             4.274967E-02             6.119513E-01             9.439797E-01             1.278717E+01             1.255373E+01             1.063473E+01             2.435292E+01
                  10.4400             8.861101E+01             4.771606E+00             3.310185E+00             7.026937E-01             8.530082E+01             5.474300E+00             0.000000E+00             1.328285E-02             6.791242E-01             4.268376E-02             6.125407E-01             9.649039E-01             1.278102E+01             1.258469E+01             1.063859E+01             2.435292E+01
                  10.6200             8.821303E+01             4.835491E+00             3.286278E+00             7.120260E-01             8.492675E+01             5.547517E+00             0.000000E+00             1.355646E-02             6.786832E-01             4.261678E-02             6.131188E-01             9.857306E-01             1.277477E+01             1.261549E+01             1.064046E+01             2.435292E+01
                  10.8000             8.778472E+01             4.900102E+00             3.260541E+00             7.214633E-01             8.452418E+01             5.621566E+00             0.000000E+00             1.383878E-02             6.782453E-01             4.254875E-02             6.136853E-01             1.006457E+00             1.276843E+01             1.264612E+01             1.064048E+01             2.435292E+01
                  10.9800             8.732568E+01             4.965439E+00             3.232967E+00             7.310055E-01             8.409272E+01             5.696445E+00             0.000000E+00             1.413029E-02             6.778106E-01             4.247965E-02             6.142399E-01             1.027079E+00             1.276200E+01             1.267656E+01             1.063889E+01             2.435292E+01
                  11.1600             8.683559E+01             5.031501E+00             3.203555E+00             7.406524E-01             8.363203E+01             5.772154E+00             0.000000E+00             1.443146E-02             6.773789E-01             4.240951E-02             6.147821E-01             1.047595E+00             1.275547E+01             1.270680E+01             1.063600E+01             2.435292E+01
                  11.3400             8.631417E+01             5.098287E+00             3.172312E+00             7.504037E-01             8.314186E+01             5.848691E+00             0.000000E+00             1.474277E-02             6.769503E-01             4.233833E-02             6.153117E-01             1.068001E+00             1.274884E+01             1.273684E+01             1.063217E+01             2.435292E+01
                  11.5200             8.576125E+01             5.165795E+00             3.139250E+00             7.602593E-01             8.262200E+01             5.926054E+00             0.000000E+00             1.506469E-02             6.765248E-01             4.226610E-02             6.158283E-01             1.088295E+00             1.274212E+01             1.276666E+01             1.062774E+01             2.435292E+01
                  11.7000             8.517672E+01             5.234024E+00             3.104388E+00             7.702190E-01             8.207234E+01             6.004243E+00             0.000000E+00             1.539771E-02             6.761023E-01             4.219283E-02             6.163319E-01             1.108474E+00             1.273531E+01             1.279626E+01             1.062301E+01             2.435292E+01
                  11.8800             8.456056E+01             5.302972E+00             3.067752E+00             7.802824E-01             8.149280E+01             6.083255E+00             0.000000E+00             1.574230E-02             6.756829E-01             4.211853E-02             6.168220E-01             1.128534E+00             1.272841E+01             1.282563E+01             1.061824E+01             2.435292E+01
                  12.0600             8.391281E+01             5.372640E+00             3.029375E+00             7.904496E-01             8.088343E+01             6.163090E+00             0.000000E+00             1.609894E-02             6.752664E-01             4.204321E-02             6.172984E-01             1.148475E+00             1.272141E+01             1.285475E+01             1.061364E+01             2.435292E+01
                  12.2400             8.323361E+01             5.443025E+00             2.989295E+00             8.007201E-01             8.024432E+01             6.243746E+00             0.000000E+00             1.646808E-02             6.748529E-01             4.196686E-02             6.177611E-01             1.168293E+00             1.271432E+01             1.288363E+01             1.060935E+01             2.435292E+01
                  12.4200             8.252319E+01             5.514127E+00             2.947559E+00             8.110939E-01             7.957564E+01             6.325221E+00             0.000000E+00             1.685020E-02             6.744424E-01             4.188949E-02             6.182097E-01             1.187985E+00             1.270714E+01             1.291226E+01             1.060549E+01             2.435292E+01
                  12.6000             8.178185E+01             5.585944E+00             2.904218E+00             8.215706E-01             7.887763E+01             6.407515E+00             0.000000E+00             1.724574E-02             6.740348E-01             4.181111E-02             6.186442E-01             1.207551E+00             1.269987E+01             1.294063E+01             1.060210E+01             2.435292E+01
                  12.7800             8.100997E+01             5.658475E+00             2.859331E+00             8.321502E-01             7.815064E+01             6.490625E+00             0.000000E+00             1.765517E-02             6.736301E-01             4.173172E-02             6.190645E-01             1.226988E+00             1.269251E+01             1.296874E+01             1.059921E+01             2.435292E+01
                  12.9600             8.020802E+01             5.731718E+00             2.812962E+00             8.428323E-01             7.739506E+01             6.574551E+00             0.000000E+00             1.807891E-02             6.732283E-01             4.165133E-02             6.194704E-01             1.246295E+00             1.268506E+01             1.299658E+01             1.059682E+01             2.435292E+01
                  13.1400             7.937655E+01             5.805673E+00             2.765181E+00             8.536168E-01             7.661137E+01             6.659290E+00             0.000000E+00             1.851739E-02             6.728294E-01             4.156994E-02             6.198619E-01             1.265469E+00             1.267752E+01             1.302415E+01             1.059494E+01             2.435292E+01
