                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                  20.7000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670578E+05             1.660122E+05             4.927065E+05
                  20.8800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670599E+05             1.660143E+05             4.927114E+05
                  21.0600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670620E+05             1.660163E+05             4.927164E+05
                  21.2400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670639E+05             1.660183E+05             4.927215E+05
                  21.4200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670659E+05             1.660203E+05             4.927267E+05
                  21.6000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670679E+05             1.660223E+05             4.927319E+05
                  21.7800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670698E+05             1.660242E+05             4.927372E+05
                  21.9600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670718E+05             1.660262E+05             4.927425E+05
                  22.1400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670738E+05             1.660282E+05             4.927479E+05
                  22.3200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670759E+05             1.660303E+05             4.927532E+05
                  22.5000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670781E+05             1.660325E+05             4.927586E+05
                  22.6800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670804E+05             1.660348E+05             4.927640E+05
                  22.8600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670830E+05             1.660374E+05             4.927693E+05
                  23.0400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670857E+05             1.660401E+05             4.927746E+05
                  23.2200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670886E+05             1.660430E+05             4.927799E+05
                  23.4000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670916E+05             1.660460E+05             4.927852E+05
                  23.5800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670947E+05             1.660491E+05             4.927904E+05
