                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                  34.5600             1.824377E+01             2.174952E-01             5.432035E-01             5.001708E-01             9.571652E-01
                  34.7400             1.824367E+01             2.182252E-01             5.385189E-01             5.001733E-01             9.359727E-01
                  34.9200             1.824364E+01             2.189061E-01             5.330116E-01             5.001743E-01             9.110573E-01
                  35.1000             1.824363E+01             2.195594E-01             5.278934E-01             5.001745E-01             8.871403E-01
                  35.2800             1.824365E+01             2.201890E-01             5.231372E-01             5.001740E-01             8.641864E-01
                  35.4600             1.824370E+01             2.207983E-01             5.187176E-01             5.001727E-01             8.421617E-01
                  35.6400             1.824382E+01             2.213490E-01             5.137145E-01             5.001693E-01             8.169725E-01
                  35.8200             1.824392E+01             2.219243E-01             5.099452E-01             5.001667E-01             7.968146E-01
                  36.0000             1.824403E+01             2.224880E-01             5.064439E-01             5.001635E-01             7.774879E-01
                  36.1800             1.824423E+01             2.229943E-01             5.024290E-01             5.001581E-01             7.552120E-01
                  36.3600             1.824438E+01             2.235403E-01             4.994465E-01             5.001539E-01             7.375582E-01
                  36.5400             1.824462E+01             2.240294E-01             4.959918E-01             5.001473E-01             7.170906E-01
                  36.7200             1.824488E+01             2.245139E-01             4.928058E-01             5.001402E-01             6.975263E-01
                  36.9000             1.824516E+01             2.249949E-01             4.898682E-01             5.001326E-01             6.788330E-01
                  37.0800             1.824546E+01             2.254737E-01             4.871603E-01             5.001245E-01             6.609793E-01
                  37.2600             1.824577E+01             2.259538E-01             4.846650E-01             5.001160E-01             6.439353E-01
                  37.4400             1.824609E+01             2.264338E-01             4.823665E-01             5.001071E-01             6.276719E-01
                  37.6200             1.824652E+01             2.268639E-01             4.797562E-01             5.000954E-01             6.091309E-01
                  37.8000             1.824687E+01             2.273515E-01             4.778334E-01             5.000858E-01             5.944269E-01
                  37.9800             1.824732E+01             2.277904E-01             4.756220E-01             5.000733E-01             5.775499E-01
                  38.1600             1.824770E+01             2.282866E-01             4.740196E-01             5.000631E-01             5.642950E-01
                  38.3400             1.824818E+01             2.287375E-01             4.721499E-01             5.000500E-01             5.489686E-01
                  38.5200             1.824867E+01             2.291950E-01             4.704428E-01             5.000365E-01             5.344145E-01
                  38.7000             1.824927E+01             2.296129E-01             4.685289E-01             5.000199E-01             5.180304E-01
                  38.8800             1.824979E+01             2.300869E-01             4.671293E-01             5.000058E-01             5.050118E-01
                  39.0600             1.824989E+01             2.307546E-01             4.671554E-01             5.000029E-01             5.024375E-01
                  39.2400             1.824989E+01             2.314657E-01             4.675171E-01             5.000029E-01             5.023706E-01
                  39.4200             1.824989E+01             2.321733E-01             4.678772E-01             5.000030E-01             5.023052E-01
                  39.6000             1.824989E+01             2.328775E-01             4.682359E-01             5.000030E-01             5.022411E-01
                  39.7800             1.824989E+01             2.335783E-01             4.685931E-01             5.000030E-01             5.021784E-01
                  39.9600             1.824989E+01             2.342756E-01             4.689487E-01             5.000030E-01             5.021170E-01
                  40.1400             1.824989E+01             2.349694E-01             4.693028E-01             5.000030E-01             5.020568E-01
                  40.3200             1.824989E+01             2.356598E-01             4.696554E-01             5.000030E-01             5.019978E-01
                  40.5000             1.824989E+01             2.363468E-01             4.700064E-01             5.000030E-01             5.019400E-01
                  40.6800             1.824989E+01             2.370302E-01             4.703559E-01             5.000030E-01             5.018832E-01
                  40.8600             1.824989E+01             2.377102E-01             4.707037E-01             5.000030E-01             5.018274E-01
                  41.0400             1.824989E+01             2.383866E-01             4.710500E-01             5.000030E-01             5.017725E-01
                  41.2200             1.824989E+01             2.390596E-01             4.713947E-01             5.000030E-01             5.017185E-01
                  41.4000             1.824989E+01             2.397291E-01             4.717377E-01             5.000030E-01             5.016653E-01
                  41.5800             1.824989E+01             2.403950E-01             4.720791E-01             5.000031E-01             5.016128E-01
                  41.7600             1.824989E+01             2.410575E-01             4.724188E-01             5.000031E-01             5.015609E-01
                  41.9400             1.824989E+01             2.417164E-01             4.727569E-01             5.000031E-01             5.015096E-01
                  42.1200             1.824989E+01             2.423718E-01             4.730933E-01             5.000031E-01             5.014588E-01
                  42.3000             1.824989E+01             2.430236E-01             4.734279E-01             5.000031E-01             5.014082E-01
                  42.4800             1.824989E+01             2.436719E-01             4.737608E-01             5.000031E-01             5.013578E-01
                  42.6600             1.824989E+01             2.443166E-01             4.740920E-01             5.000031E-01             5.013073E-01
                  42.8400             1.824989E+01             2.449578E-01             4.744213E-01             5.000031E-01             5.012566E-01
                  43.0200             1.824989E+01             2.455953E-01             4.747487E-01             5.000031E-01             5.012053E-01
                  43.2000             1.824989E+01             2.462293E-01             4.750743E-01             5.000031E-01             5.011529E-01
                  43.3800             1.824989E+01             2.468597E-01             4.753977E-01             5.000031E-01             5.010989E-01
                  43.5600             1.824989E+01             2.474864E-01             4.757190E-01             5.000031E-01             5.010420E-01
                  43.7400             1.824988E+01             2.481094E-01             4.760378E-01             5.000032E-01             5.009802E-01
                  43.9200             1.824988E+01             2.487286E-01             4.763532E-01             5.000032E-01             5.009082E-01
                  44.1000             1.824988E+01             2.493433E-01             4.766607E-01             5.000032E-01             5.007947E-01
                  44.2800             1.824988E+01             2.499508E-01             4.769306E-01             5.000032E-01             5.004343E-01
                  44.4600             1.824988E+01             2.505583E-01             4.772188E-01             5.000032E-01             5.002080E-01
                  44.6400             1.824988E+01             2.511639E-01             4.775238E-01             5.000032E-01             5.001122E-01
                  44.8200             1.824988E+01             2.517665E-01             4.778376E-01             5.000032E-01             5.000910E-01
                  45.0000             1.824988E+01             2.523656E-01             4.781522E-01             5.000032E-01             5.000885E-01
                  45.1800             1.824988E+01             2.529611E-01             4.784653E-01             5.000032E-01             5.000881E-01
                  45.3600             1.824988E+01             2.535530E-01             4.787766E-01             5.000032E-01             5.000879E-01
                  45.5400             1.824988E+01             2.541413E-01             4.790861E-01             5.000032E-01             5.000876E-01
                  45.7200             1.824988E+01             2.547260E-01             4.793939E-01             5.000032E-01             5.000874E-01
                  45.9000             1.824988E+01             2.553071E-01             4.796998E-01             5.000032E-01             5.000871E-01
                  46.0800             1.824988E+01             2.558846E-01             4.800040E-01             5.000033E-01             5.000869E-01
