                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                  16.2000             3.270606E+02             3.271181E+02             3.273044E+02             3.273267E+02             3.304622E+02             3.298365E+02             3.307859E+02             3.301212E+02             3.319644E+02             3.311558E+02
                  16.3800             3.270521E+02             3.271098E+02             3.272983E+02             3.273206E+02             3.304534E+02             3.298280E+02             3.307795E+02             3.301149E+02             3.319578E+02             3.311493E+02
                  16.5600             3.270434E+02             3.271012E+02             3.272921E+02             3.273144E+02             3.304446E+02             3.298193E+02             3.307730E+02             3.301085E+02             3.319511E+02             3.311426E+02
                  16.7400             3.270345E+02             3.270926E+02             3.272858E+02             3.273081E+02             3.304355E+02             3.298105E+02             3.307664E+02             3.301020E+02             3.319442E+02             3.311359E+02
                  16.9200             3.270256E+02             3.270838E+02             3.272794E+02             3.273017E+02             3.304264E+02             3.298016E+02             3.307598E+02             3.300954E+02             3.319373E+02             3.311291E+02
                  17.1000             3.270164E+02             3.270749E+02             3.272729E+02             3.272952E+02             3.304171E+02             3.297926E+02             3.307530E+02             3.300887E+02             3.319303E+02             3.311222E+02
                  17.2800             3.270072E+02             3.270658E+02             3.272663E+02             3.272886E+02             3.304077E+02             3.297834E+02             3.307461E+02             3.300819E+02             3.319232E+02             3.311151E+02
                  17.4600             3.269978E+02             3.270566E+02             3.272596E+02             3.272820E+02             3.303982E+02             3.297741E+02             3.307392E+02             3.300750E+02             3.319160E+02             3.311080E+02
                  17.6400             3.269883E+02             3.270474E+02             3.272529E+02             3.272753E+02             3.303886E+02             3.297648E+02             3.307321E+02             3.300680E+02             3.319087E+02             3.311008E+02
                  17.8200             3.269787E+02             3.270380E+02             3.272461E+02             3.272685E+02             3.303789E+02             3.297553E+02             3.307250E+02             3.300610E+02             3.319013E+02             3.310936E+02
                  18.0000             3.269690E+02             3.270285E+02             3.272392E+02             3.272616E+02             3.303691E+02             3.297457E+02             3.307178E+02             3.300539E+02             3.318938E+02             3.310862E+02
                  18.1800             3.269592E+02             3.270189E+02             3.272322E+02             3.272546E+02             3.303592E+02             3.297360E+02             3.307105E+02             3.300467E+02             3.318863E+02             3.310788E+02
