                             Degree                     Suc.Volume[m3]                    Comp.Volume[m3]               I.Suct.Press._1[kPa]                    I.Suct.Temp.[K]                 I.Disc.Press.[kPa]                    I.Disc.Temp.[K]
                            29.7000                       1.237124E-07                       3.264139E-05                       1.007480E+02                       3.039992E+02                       1.009043E+02                       3.041339E+02
                            29.8800                       1.253514E-07                       3.263819E-05                       1.007480E+02                       3.039992E+02                       1.009182E+02                       3.041458E+02
                            30.0600                       1.270139E-07                       3.263496E-05                       1.007480E+02                       3.039992E+02                       1.009322E+02                       3.041579E+02
                            30.2400                       1.287001E-07                       3.263169E-05                       1.007480E+02                       3.039992E+02                       1.009463E+02                       3.041701E+02
                            30.4200                       1.304101E-07                       3.262839E-05                       1.007480E+02                       3.039992E+02                       1.009606E+02                       3.041824E+02
                            30.6000                       1.321442E-07                       3.262506E-05                       1.007480E+02                       3.039992E+02                       1.009751E+02                       3.041949E+02
                            30.7800                       1.339025E-07                       3.262170E-05                       1.007480E+02                       3.039992E+02                       1.009897E+02                       3.042074E+02
                            30.9600                       1.356851E-07                       3.261830E-05                       1.007480E+02                       3.039992E+02                       1.010044E+02                       3.042201E+02
                            31.1400                       1.374921E-07                       3.261487E-05                       1.007480E+02                       3.039992E+02                       1.010193E+02                       3.042329E+02
                            31.3200                       1.393238E-07                       3.261141E-05                       1.007480E+02                       3.039992E+02                       1.010343E+02                       3.042458E+02
                            31.5000                       1.411802E-07                       3.260792E-05                       1.007480E+02                       3.039992E+02                       1.010495E+02                       3.042589E+02
                            31.6800                       1.430616E-07                       3.260439E-05                       1.007480E+02                       3.039992E+02                       1.010648E+02                       3.042721E+02
                            31.8600                       1.449680E-07                       3.260083E-05                       1.007480E+02                       3.039992E+02                       1.010802E+02                       3.042854E+02
                            32.0400                       1.468997E-07                       3.259724E-05                       1.007480E+02                       3.039992E+02                       1.010959E+02                       3.042988E+02
                            32.2200                       1.488567E-07                       3.259361E-05                       1.007480E+02                       3.039992E+02                       1.011116E+02                       3.043124E+02
                            32.4000                       1.508392E-07                       3.258995E-05                       1.007480E+02                       3.039992E+02                       1.011275E+02                       3.043261E+02
                            32.5800                       1.528475E-07                       3.258625E-05                       1.007480E+02                       3.039992E+02                       1.011436E+02                       3.043399E+02
