                   Degree                 Q1[m3/s]                 Q2[m3/s]                Q3c[m3/s]                Q3s[m3/s]                 Q4[m3/s]                Q5a[m3/s]                Q5b[m3/s]                Q6c[m3/s]                Q6s[m3/s]                 Q7[m3/s]                 Q8[m3/s]                Q9a[m3/s]                Q9b[m3/s]
                  14.4000             1.619991E-06             2.866301E-07             1.551470E-06             6.851084E-08             1.775716E-08             1.058130E-07             1.456921E-06             1.050899E-11             2.891761E-13             1.333361E-06            -1.464668E-07            -3.211238E-07             8.657707E-07
                  14.5800             1.619985E-06             2.866253E-07             1.550578E-06             6.939603E-08             1.775711E-08             1.058144E-07             1.456921E-06             1.050211E-11             2.945749E-13             1.333360E-06            -1.464648E-07            -3.211244E-07             8.657707E-07
                  14.7600             1.619979E-06             2.866205E-07             1.549686E-06             7.028266E-08             1.775706E-08             1.058158E-07             1.456921E-06             1.049515E-11             3.000633E-13             1.333359E-06            -1.464628E-07            -3.211251E-07             8.657707E-07
                  14.9400             1.619973E-06             2.866156E-07             1.548791E-06             7.117074E-08             1.775700E-08             1.058171E-07             1.456921E-06             1.048812E-11             3.056416E-13             1.333357E-06            -1.464607E-07            -3.211259E-07             8.657707E-07
                  15.1200             1.619967E-06             2.866107E-07             1.547896E-06             7.206026E-08             1.775692E-08             1.058185E-07             1.456921E-06             1.048102E-11             3.113100E-13             1.333356E-06            -1.464587E-07            -3.211267E-07             8.657707E-07
                  15.3000             1.619961E-06             2.866058E-07             1.546999E-06             7.295123E-08             1.775683E-08             1.058198E-07             1.456921E-06             1.047385E-11             3.170687E-13             1.333355E-06            -1.464565E-07            -3.211276E-07             8.657707E-07
                  15.4800             1.619954E-06             2.866009E-07             1.546100E-06             7.384365E-08             1.775674E-08             1.058211E-07             1.456921E-06             1.046661E-11             3.229176E-13             1.333354E-06            -1.464544E-07            -3.211286E-07             8.657707E-07
                  15.6600             1.619948E-06             2.865959E-07             1.545200E-06             7.473750E-08             1.775663E-08             1.058223E-07             1.456921E-06             1.045929E-11             3.288565E-13             1.333352E-06            -1.464522E-07            -3.211296E-07             8.657707E-07
                  15.8400             1.619942E-06             2.865909E-07             1.544299E-06             7.563279E-08             1.775651E-08             1.058235E-07             1.456921E-06             1.045192E-11             3.348853E-13             1.333351E-06            -1.464501E-07            -3.211306E-07             8.657707E-07
                  16.0200             1.619936E-06             2.865860E-07             1.543396E-06             7.652950E-08             1.775638E-08             1.058247E-07             1.456921E-06             1.044448E-11             3.410034E-13             1.333350E-06            -1.464479E-07            -3.211318E-07             8.657707E-07
                  16.2000             1.619930E-06             2.865811E-07             1.542492E-06             7.742761E-08             1.775624E-08             1.058259E-07             1.456921E-06             1.043698E-11             3.472103E-13             1.333349E-06            -1.464457E-07            -3.211330E-07             8.657707E-07
                  16.3800             1.619924E-06             2.865762E-07             1.541587E-06             7.832712E-08             1.775610E-08             1.058270E-07             1.456921E-06             1.042943E-11             3.535055E-13             1.333348E-06            -1.464434E-07            -3.211342E-07             8.657707E-07
                  16.5600             1.619919E-06             2.865713E-07             1.540680E-06             7.922801E-08             1.775594E-08             1.058281E-07             1.456921E-06             1.042183E-11             3.598880E-13             1.333347E-06            -1.464412E-07            -3.211355E-07             8.657707E-07
                  16.7400             1.619913E-06             2.865665E-07             1.539772E-06             8.013025E-08             1.775578E-08             1.058291E-07             1.456921E-06             1.041419E-11             3.663571E-13             1.333346E-06            -1.464391E-07            -3.211368E-07             8.657707E-07
                  16.9200             1.619908E-06             2.865619E-07             1.538863E-06             8.103383E-08             1.775561E-08             1.058301E-07             1.456921E-06             1.040651E-11             3.729119E-13             1.333346E-06            -1.464369E-07            -3.211381E-07             8.657707E-07
                  17.1000             1.619902E-06             2.865573E-07             1.537953E-06             8.193872E-08             1.775543E-08             1.058311E-07             1.456921E-06             1.039880E-11             3.795512E-13             1.333345E-06            -1.464348E-07            -3.211395E-07             8.657707E-07
                  17.2800             1.619897E-06             2.865529E-07             1.537041E-06             8.284489E-08             1.775525E-08             1.058319E-07             1.456921E-06             1.039107E-11             3.862740E-13             1.333344E-06            -1.464327E-07            -3.211409E-07             8.657707E-07
